    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  3.43569E-05  2.52519E-07  8.92533E-05  8.92533E-05  8.92533E-05  2.67760E-04  1.96800E-06  1.04782E-04  1.04782E-04  1.04604E-04  1.04604E-04  1.04604E-04  5.23377E-04  3.84675E-06  8.25493E-04  6.06726E-06
  -29.9000  3.43549E-05  5.05023E-07  8.88212E-05  8.88212E-05  8.88212E-05  2.66463E-04  3.92647E-06  1.05459E-04  1.05459E-04  1.05278E-04  1.05278E-04  1.05278E-04  5.26752E-04  7.71830E-06  8.27570E-04  1.21498E-05
  -29.8000  3.43535E-05  7.57516E-07  8.83932E-05  8.83932E-05  8.83932E-05  2.65180E-04  5.87550E-06  1.06143E-04  1.06143E-04  1.05958E-04  1.05958E-04  1.05958E-04  5.30161E-04  1.16149E-05  8.29694E-04  1.82479E-05
  -29.7000  3.43526E-05  1.01000E-06  8.79693E-05  8.79693E-05  8.79693E-05  2.63908E-04  7.81519E-06  1.06834E-04  1.06834E-04  1.06646E-04  1.06646E-04  1.06646E-04  5.33605E-04  1.55368E-05  8.31865E-04  2.43620E-05
  -29.6000  3.43523E-05  1.26249E-06  8.75495E-05  8.75495E-05  8.75495E-05  2.62648E-04  9.74562E-06  1.07532E-04  1.07532E-04  1.07340E-04  1.07340E-04  1.07340E-04  5.37084E-04  1.94843E-05  8.34085E-04  3.04924E-05
  -29.5000  3.43525E-05  1.51497E-06  8.71337E-05  8.71337E-05  8.71337E-05  2.61401E-04  1.16669E-05  1.08237E-04  1.08237E-04  1.08041E-04  1.08041E-04  1.08041E-04  5.40598E-04  2.34577E-05  8.36352E-04  3.66395E-05
  -29.4000  3.43533E-05  1.76747E-06  8.67219E-05  8.67219E-05  8.67219E-05  2.60166E-04  1.35791E-05  1.08949E-04  1.08949E-04  1.08750E-04  1.08750E-04  1.08750E-04  5.44148E-04  2.74571E-05  8.38667E-04  4.28036E-05
  -29.3000  3.43547E-05  2.01997E-06  8.63140E-05  8.63140E-05  8.63140E-05  2.58942E-04  1.54823E-05  1.09669E-04  1.09669E-04  1.09466E-04  1.09466E-04  1.09466E-04  5.47735E-04  3.14828E-05  8.41031E-04  4.89851E-05
  -29.2000  3.43567E-05  2.27249E-06  8.59100E-05  8.59100E-05  8.59100E-05  2.57730E-04  1.73765E-05  1.10396E-04  1.10396E-04  1.10189E-04  1.10189E-04  1.10189E-04  5.51359E-04  3.55353E-05  8.43445E-04  5.51843E-05
  -29.1000  3.43593E-05  2.52502E-06  8.55098E-05  8.55098E-05  8.55098E-05  2.56530E-04  1.92620E-05  1.11131E-04  1.11131E-04  1.10919E-04  1.10919E-04  1.10919E-04  5.55020E-04  3.96146E-05  8.45909E-04  6.14016E-05
  -29.0000  3.43625E-05  2.77758E-06  8.51135E-05  8.51135E-05  8.51135E-05  2.55341E-04  2.11387E-05  1.11873E-04  1.11873E-04  1.11657E-04  1.11657E-04  1.11657E-04  5.58719E-04  4.37211E-05  8.48422E-04  6.76374E-05
  -28.9000  3.43663E-05  3.03017E-06  8.47210E-05  8.47210E-05  8.47210E-05  2.54163E-04  2.30068E-05  1.12624E-04  1.12624E-04  1.12403E-04  1.12403E-04  1.12403E-04  5.62457E-04  4.78551E-05  8.50986E-04  7.38920E-05
  -28.8000  3.43707E-05  3.28279E-06  8.43322E-05  8.43322E-05  8.43322E-05  2.52997E-04  2.48663E-05  1.13382E-04  1.13382E-04  1.13157E-04  1.13157E-04  1.13157E-04  5.66233E-04  5.20168E-05  8.53601E-04  8.01659E-05
  -28.7000  3.43756E-05  3.53545E-06  8.39471E-05  8.39471E-05  8.39471E-05  2.51841E-04  2.67173E-05  1.14148E-04  1.14148E-04  1.13918E-04  1.13918E-04  1.13918E-04  5.70050E-04  5.62066E-05  8.56267E-04  8.64593E-05
  -28.6000  3.43812E-05  3.78814E-06  8.35657E-05  8.35657E-05  8.35657E-05  2.50697E-04  2.85599E-05  1.14922E-04  1.14922E-04  1.14688E-04  1.14688E-04  1.14688E-04  5.73907E-04  6.04247E-05  8.58985E-04  9.27727E-05
  -28.5000  3.43874E-05  4.04089E-06  8.31879E-05  8.31879E-05  8.31879E-05  2.49564E-04  3.03941E-05  1.15704E-04  1.15704E-04  1.15465E-04  1.15465E-04  1.15465E-04  5.77804E-04  6.46715E-05  8.61755E-04  9.91065E-05
  -28.4000  3.43942E-05  4.29368E-06  8.28136E-05  8.28136E-05  8.28136E-05  2.48441E-04  3.22201E-05  1.16495E-04  1.16495E-04  1.16251E-04  1.16251E-04  1.16251E-04  5.81744E-04  6.89473E-05  8.64579E-04  1.05461E-04
  -28.3000  3.44016E-05  4.54653E-06  8.24429E-05  8.24429E-05  8.24429E-05  2.47329E-04  3.40380E-05  1.17294E-04  1.17294E-04  1.17045E-04  1.17045E-04  1.17045E-04  5.85725E-04  7.32522E-05  8.67455E-04  1.11837E-04
  -28.2000  3.44097E-05  4.79943E-06  8.20757E-05  8.20757E-05  8.20757E-05  2.46227E-04  3.58477E-05  1.18102E-04  1.18102E-04  1.17848E-04  1.17848E-04  1.17848E-04  5.89749E-04  7.75868E-05  8.70386E-04  1.18234E-04
  -28.1000  3.44183E-05  5.05240E-06  8.17120E-05  8.17120E-05  8.17120E-05  2.45136E-04  3.76494E-05  1.18919E-04  1.18919E-04  1.18659E-04  1.18659E-04  1.18659E-04  5.93816E-04  8.19513E-05  8.73370E-04  1.24653E-04
  -28.0000  3.44276E-05  5.30544E-06  8.13518E-05  8.13518E-05  8.13518E-05  2.44055E-04  3.94432E-05  1.19744E-04  1.19744E-04  1.19479E-04  1.19479E-04  1.19479E-04  5.97926E-04  8.63460E-05  8.76409E-04  1.31095E-04
  -27.9000  3.44374E-05  5.55855E-06  8.09949E-05  8.09949E-05  8.09949E-05  2.42985E-04  4.12291E-05  1.20578E-04  1.20578E-04  1.20308E-04  1.20308E-04  1.20308E-04  6.02080E-04  9.07712E-05  8.79503E-04  1.37559E-04
  -27.8000  3.44480E-05  5.81174E-06  8.06414E-05  8.06414E-05  8.06414E-05  2.41924E-04  4.30072E-05  1.21422E-04  1.21422E-04  1.21146E-04  1.21146E-04  1.21146E-04  6.06280E-04  9.52272E-05  8.82653E-04  1.44046E-04
  -27.7000  3.44591E-05  6.06501E-06  8.02913E-05  8.02913E-05  8.02913E-05  2.40874E-04  4.47776E-05  1.22275E-04  1.22275E-04  1.21992E-04  1.21992E-04  1.21992E-04  6.10526E-04  9.97145E-05  8.85859E-04  1.50557E-04
  -27.6000  3.44709E-05  6.31836E-06  7.99445E-05  7.99445E-05  7.99445E-05  2.39833E-04  4.65403E-05  1.23137E-04  1.23137E-04  1.22848E-04  1.22848E-04  1.22848E-04  6.14818E-04  1.04233E-04  8.89123E-04  1.57092E-04
  -27.5000  3.44834E-05  6.57181E-06  7.96010E-05  7.96010E-05  7.96010E-05  2.38803E-04  4.82955E-05  1.24008E-04  1.24008E-04  1.23714E-04  1.23714E-04  1.23714E-04  6.19157E-04  1.08784E-04  8.92444E-04  1.63651E-04
  -27.4000  3.44965E-05  6.82536E-06  7.92607E-05  7.92607E-05  7.92607E-05  2.37782E-04  5.00432E-05  1.24889E-04  1.24889E-04  1.24589E-04  1.24589E-04  1.24589E-04  6.23544E-04  1.13367E-04  8.95823E-04  1.70236E-04
  -27.3000  3.45102E-05  7.07900E-06  7.89236E-05  7.89236E-05  7.89236E-05  2.36771E-04  5.17834E-05  1.25780E-04  1.25780E-04  1.25473E-04  1.25473E-04  1.25473E-04  6.27980E-04  1.17983E-04  8.99261E-04  1.76845E-04
