    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  8.15005E-05  5.99017E-07  8.45774E-05  8.45774E-05  8.45774E-05  2.53732E-04  1.86490E-06  1.54832E-04  1.54832E-04  1.48811E-04  1.48811E-04  1.48811E-04  7.56096E-04  5.55720E-06  1.09133E-03  8.02112E-06
  -29.9000  8.19739E-05  1.20151E-06  8.46234E-05  8.46234E-05  8.46234E-05  2.53870E-04  3.73081E-06  1.55976E-04  1.55976E-04  1.49852E-04  1.49852E-04  1.49852E-04  7.61507E-04  1.11542E-05  1.09735E-03  1.60865E-05
  -29.8000  8.24553E-05  1.80755E-06  8.46736E-05  8.46736E-05  8.46736E-05  2.54021E-04  5.59783E-06  1.57134E-04  1.57134E-04  1.50905E-04  1.50905E-04  1.50905E-04  7.66982E-04  1.67914E-05  1.10346E-03  2.41968E-05
  -29.7000  8.29447E-05  2.41718E-06  8.47281E-05  8.47281E-05  8.47281E-05  2.54184E-04  7.46605E-06  1.58307E-04  1.58307E-04  1.51969E-04  1.51969E-04  1.51969E-04  7.72521E-04  2.24693E-05  1.10965E-03  3.23525E-05
  -29.6000  8.34425E-05  3.03047E-06  8.47869E-05  8.47869E-05  8.47869E-05  2.54361E-04  9.33557E-06  1.59494E-04  1.59494E-04  1.53046E-04  1.53046E-04  1.53046E-04  7.78127E-04  2.81884E-05  1.11593E-03  4.05545E-05
  -29.5000  8.39487E-05  3.64748E-06  8.48501E-05  8.48501E-05  8.48501E-05  2.54550E-04  1.12065E-05  1.60697E-04  1.60697E-04  1.54135E-04  1.54135E-04  1.54135E-04  7.83799E-04  3.39493E-05  1.12230E-03  4.88032E-05
  -29.4000  8.44637E-05  4.26828E-06  8.49177E-05  8.49177E-05  8.49177E-05  2.54753E-04  1.30789E-05  1.61915E-04  1.61915E-04  1.55236E-04  1.55236E-04  1.55236E-04  7.89539E-04  3.97523E-05  1.12876E-03  5.70994E-05
  -29.3000  8.49876E-05  4.89293E-06  8.49899E-05  8.49899E-05  8.49899E-05  2.54970E-04  1.49529E-05  1.63148E-04  1.63148E-04  1.56350E-04  1.56350E-04  1.56350E-04  7.95348E-04  4.55980E-05  1.13530E-03  6.54438E-05
  -29.2000  8.55207E-05  5.52149E-06  8.50666E-05  8.50666E-05  8.50666E-05  2.55200E-04  1.68286E-05  1.64398E-04  1.64398E-04  1.57477E-04  1.57477E-04  1.57477E-04  8.01226E-04  5.14869E-05  1.14195E-03  7.38369E-05
  -29.1000  8.60633E-05  6.15405E-06  8.51481E-05  8.51481E-05  8.51481E-05  2.55444E-04  1.87060E-05  1.65663E-04  1.65663E-04  1.58616E-04  1.58616E-04  1.58616E-04  8.07175E-04  5.74195E-05  1.14868E-03  8.22796E-05
