    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  7.06745E-05  5.19448E-07  8.03920E-05  7.89154E-05  8.14705E-05  2.40778E-04  1.76968E-06  1.33392E-04  1.33861E-04  1.35370E-04  1.37641E-04  1.35205E-04  6.75468E-04  4.96460E-06  9.86921E-04  7.25373E-06
  -29.9000  7.10576E-05  1.04171E-06  8.03843E-05  7.88817E-05  8.14809E-05  2.40747E-04  3.53914E-06  1.34288E-04  1.34764E-04  1.36301E-04  1.38613E-04  1.36134E-04  6.80101E-04  9.96325E-06  9.91905E-04  1.45441E-05
  -29.8000  7.14472E-05  1.56684E-06  8.03804E-05  7.88512E-05  8.14956E-05  2.40727E-04  5.30845E-06  1.35193E-04  1.35678E-04  1.37243E-04  1.39596E-04  1.37074E-04  6.84785E-04  1.49963E-05  9.96959E-04  2.18716E-05
  -29.7000  7.18434E-05  2.09488E-06  8.03803E-05  7.88239E-05  8.15145E-05  2.40719E-04  7.07770E-06  1.36109E-04  1.36602E-04  1.38196E-04  1.40591E-04  1.38025E-04  6.89522E-04  2.00642E-05  1.00208E-03  2.92368E-05
  -29.6000  7.22463E-05  2.62588E-06  8.03843E-05  7.87999E-05  8.15379E-05  2.40722E-04  8.84698E-06  1.37034E-04  1.37535E-04  1.39159E-04  1.41598E-04  1.38987E-04  6.94313E-04  2.51673E-05  1.00728E-03  3.66402E-05
  -29.5000  7.26563E-05  3.15989E-06  8.03922E-05  7.87792E-05  8.15657E-05  2.40737E-04  1.06164E-05  1.37969E-04  1.38479E-04  1.40133E-04  1.42617E-04  1.39960E-04  6.99158E-04  3.03060E-05  1.01255E-03  4.40823E-05
  -29.4000  7.30735E-05  3.69697E-06  8.04041E-05  7.87618E-05  8.15980E-05  2.40764E-04  1.23859E-05  1.38915E-04  1.39434E-04  1.41119E-04  1.43648E-04  1.40944E-04  7.04060E-04  3.54808E-05  1.01790E-03  5.15637E-05
  -29.3000  7.34980E-05  4.23717E-06  8.04202E-05  7.87477E-05  8.16350E-05  2.40803E-04  1.41558E-05  1.39871E-04  1.40399E-04  1.42116E-04  1.44692E-04  1.41939E-04  7.09018E-04  4.06920E-05  1.02332E-03  5.90850E-05
  -29.2000  7.39300E-05  4.78055E-06  8.04405E-05  7.87371E-05  8.16766E-05  2.40854E-04  1.59261E-05  1.40837E-04  1.41375E-04  1.43125E-04  1.45749E-04  1.42946E-04  7.14033E-04  4.59400E-05  1.02882E-03  6.66466E-05
  -29.1000  7.43699E-05  5.32716E-06  8.04650E-05  7.87299E-05  8.17230E-05  2.40918E-04  1.76968E-05  1.41814E-04  1.42362E-04  1.44145E-04  1.46819E-04  1.43965E-04  7.19106E-04  5.12253E-05  1.03439E-03  7.42493E-05
  -29.0000  7.48177E-05  5.87706E-06  8.04938E-05  7.87262E-05  8.17743E-05  2.40994E-04  1.94680E-05  1.42802E-04  1.43360E-04  1.45178E-04  1.47903E-04  1.44996E-04  7.24239E-04  5.65484E-05  1.04005E-03  8.18935E-05
  -28.9000  7.52738E-05  6.43031E-06  8.05271E-05  7.87261E-05  8.18305E-05  2.41084E-04  2.12400E-05  1.43801E-04  1.44369E-04  1.46223E-04  1.49000E-04  1.46039E-04  7.29432E-04  6.19096E-05  1.04579E-03  8.95799E-05
  -28.8000  7.57384E-05  6.98698E-06  8.05648E-05  7.87295E-05  8.18919E-05  2.41186E-04  2.30127E-05  1.44812E-04  1.45390E-04  1.47280E-04  1.50110E-04  1.47095E-04  7.34686E-04  6.73095E-05  1.05161E-03  9.73091E-05
  -28.7000  7.62117E-05  7.54712E-06  8.06071E-05  7.87366E-05  8.19584E-05  2.41302E-04  2.47862E-05  1.45833E-04  1.46422E-04  1.48350E-04  1.51235E-04  1.48163E-04  7.40003E-04  7.27484E-05  1.05752E-03  1.05082E-04
  -28.6000  7.66941E-05  8.11081E-06  8.06541E-05  7.87474E-05  8.20301E-05  2.41432E-04  2.65607E-05  1.46867E-04  1.47466E-04  1.49432E-04  1.52375E-04  1.49244E-04  7.45384E-04  7.82269E-05  1.06351E-03  1.12898E-04
  -28.5000  7.71858E-05  8.67812E-06  8.07058E-05  7.87620E-05  8.21074E-05  2.41575E-04  2.83362E-05  1.47911E-04  1.48522E-04  1.50528E-04  1.53528E-04  1.50338E-04  7.50828E-04  8.37453E-05  1.06959E-03  1.20760E-04
