# == pyFAI calibration ==
# Distance Sample to Detector: 0.26161527513677846 m
# PONI: 2.023e-01, 2.348e-01 m
# Rotations: -0.026380 0.002005 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 261.707 mm
# Center: x=6119.331, y=5134.776 pix
# Tilt: 1.516 deg  TiltPlanRot: 4.347 deg
# 
# Detector Rayonix SX165	 PixelSize= 3.950e-05, 3.950e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.1271290727272727e-10 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ROCK\\WAM39B_integrated\no_holder_xrd_000001_integrated.dat
#       2th_deg             I 
  2.502596e+01    3.164010e+03
  2.504885e+01    8.336241e+03
  2.507173e+01    1.127680e+04
  2.509462e+01    1.204945e+04
  2.511750e+01    1.331553e+04
  2.514039e+01    1.400266e+04
  2.516327e+01    1.416401e+04
  2.518616e+01    1.422606e+04
  2.520905e+01    1.427789e+04
  2.523193e+01    1.418992e+04
  2.525482e+01    1.431614e+04
  2.527770e+01    1.470868e+04
  2.530059e+01    1.474892e+04
  2.532347e+01    1.468826e+04
  2.534636e+01    1.463982e+04
  2.536924e+01    1.462785e+04
  2.539213e+01    1.465953e+04
  2.541501e+01    1.468079e+04
  2.543790e+01    1.470016e+04
  2.546078e+01    1.475041e+04
  2.548367e+01    1.472236e+04
  2.550656e+01    1.458723e+04
  2.552944e+01    1.450979e+04
  2.555233e+01    1.467329e+04
  2.557521e+01    1.472354e+04
  2.559810e+01    1.468906e+04
  2.562098e+01    1.470760e+04
  2.564387e+01    1.474604e+04
  2.566675e+01    1.477147e+04
  2.568964e+01    1.472832e+04
  2.571252e+01    1.469608e+04
  2.573541e+01    1.471545e+04
  2.575829e+01    1.469625e+04
  2.578118e+01    1.462328e+04
  2.580407e+01    1.460320e+04
  2.582695e+01    1.460626e+04
  2.584984e+01    1.458690e+04
  2.587272e+01    1.457869e+04
  2.589561e+01    1.461495e+04
  2.591849e+01    1.458626e+04
  2.594138e+01    1.458309e+04
  2.596426e+01    1.461535e+04
  2.598715e+01    1.458452e+04
  2.601003e+01    1.461259e+04
  2.603292e+01    1.460342e+04
  2.605580e+01    1.459066e+04
  2.607869e+01    1.459297e+04
  2.610157e+01    1.458338e+04
  2.612446e+01    1.458844e+04
  2.614735e+01    1.459145e+04
  2.617023e+01    1.457985e+04
  2.619312e+01    1.458968e+04
  2.621600e+01    1.463292e+04
  2.623889e+01    1.462823e+04
  2.626177e+01    1.465539e+04
  2.628466e+01    1.466622e+04
  2.630754e+01    1.466492e+04
  2.633043e+01    1.466613e+04
  2.635331e+01    1.467216e+04
  2.637620e+01    1.467152e+04
  2.639908e+01    1.464979e+04
  2.642197e+01    1.461376e+04
  2.644486e+01    1.457021e+04
  2.646774e+01    1.455114e+04
  2.649063e+01    1.446141e+04
  2.651351e+01    1.440876e+04
  2.653640e+01    1.434972e+04
  2.655928e+01    1.430369e+04
  2.658217e+01    1.425596e+04
  2.660505e+01    1.422651e+04
  2.662794e+01    1.421712e+04
  2.665082e+01    1.417948e+04
  2.667371e+01    1.413938e+04
  2.669659e+01    1.410743e+04
  2.671948e+01    1.408182e+04
  2.674237e+01    1.405188e+04
  2.676525e+01    1.402235e+04
  2.678814e+01    1.398185e+04
  2.681102e+01    1.395713e+04
  2.683391e+01    1.391450e+04
  2.685679e+01    1.388745e+04
  2.687968e+01    1.387767e+04
  2.690256e+01    1.382138e+04
  2.692545e+01    1.380243e+04
  2.694833e+01    1.377110e+04
  2.697122e+01    1.372787e+04
  2.699410e+01    1.369744e+04
  2.701699e+01    1.369456e+04
  2.703988e+01    1.364732e+04
  2.706276e+01    1.361045e+04
  2.708565e+01    1.359480e+04
  2.710853e+01    1.356738e+04
  2.713142e+01    1.354767e+04
  2.715430e+01    1.352737e+04
  2.717719e+01    1.349593e+04
  2.720007e+01    1.344897e+04
  2.722296e+01    1.341687e+04
  2.724584e+01    1.338033e+04
  2.726873e+01    1.337344e+04
  2.729161e+01    1.334702e+04
  2.731450e+01    1.331710e+04
