# == pyFAI calibration ==
# Distance Sample to Detector: 0.26161527513677846 m
# PONI: 2.023e-01, 2.348e-01 m
# Rotations: -0.026380 0.002005 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 261.707 mm
# Center: x=6119.331, y=5134.776 pix
# Tilt: 1.516 deg  TiltPlanRot: 4.347 deg
# 
# Detector Rayonix SX165	 PixelSize= 3.950e-05, 3.950e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.1271290727272727e-10 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ROCK\\WAM39B_integrated\wam39b_rampe_1_xrd_000036_integrated.dat
#       2th_deg             I 
  2.502596e+01    4.793790e+03
  2.504885e+01    1.257635e+04
  2.507173e+01    1.691601e+04
  2.509462e+01    1.794911e+04
  2.511750e+01    1.962345e+04
  2.514039e+01    2.033934e+04
  2.516327e+01    2.025560e+04
  2.518616e+01    2.006837e+04
  2.520905e+01    1.992460e+04
  2.523193e+01    1.968207e+04
  2.525482e+01    1.975231e+04
  2.527770e+01    2.009141e+04
  2.530059e+01    1.998277e+04
  2.532347e+01    1.976679e+04
  2.534636e+01    1.958679e+04
  2.536924e+01    1.949112e+04
  2.539213e+01    1.945163e+04
  2.541501e+01    1.942138e+04
  2.543790e+01    1.939905e+04
  2.546078e+01    1.938903e+04
  2.548367e+01    1.930165e+04
  2.550656e+01    1.908446e+04
  2.552944e+01    1.892573e+04
  2.555233e+01    1.910690e+04
  2.557521e+01    1.918108e+04
  2.559810e+01    1.908786e+04
  2.562098e+01    1.906762e+04
  2.564387e+01    1.908296e+04
  2.566675e+01    1.908702e+04
  2.568964e+01    1.900171e+04
  2.571252e+01    1.893222e+04
  2.573541e+01    1.893933e+04
  2.575829e+01    1.889036e+04
  2.578118e+01    1.879136e+04
  2.580407e+01    1.876237e+04
  2.582695e+01    1.875425e+04
  2.584984e+01    1.873204e+04
  2.587272e+01    1.872586e+04
  2.589561e+01    1.879644e+04
  2.591849e+01    1.879512e+04
  2.594138e+01    1.883398e+04
  2.596426e+01    1.895978e+04
  2.598715e+01    1.900844e+04
  2.601003e+01    1.918630e+04
  2.603292e+01    1.934706e+04
  2.605580e+01    1.954109e+04
  2.607869e+01    1.988717e+04
  2.610157e+01    2.035002e+04
  2.612446e+01    2.102766e+04
  2.614735e+01    2.207622e+04
  2.617023e+01    2.368821e+04
  2.619312e+01    2.628325e+04
  2.621600e+01    3.050739e+04
  2.623889e+01    3.727380e+04
  2.626177e+01    4.696251e+04
  2.628466e+01    5.685108e+04
  2.630754e+01    6.271673e+04
  2.633043e+01    6.160386e+04
  2.635331e+01    5.406889e+04
  2.637620e+01    4.342015e+04
  2.639908e+01    3.410288e+04
  2.642197e+01    2.804629e+04
  2.644486e+01    2.447829e+04
  2.646774e+01    2.236739e+04
  2.649063e+01    2.092021e+04
  2.651351e+01    2.000191e+04
  2.653640e+01    1.934789e+04
  2.655928e+01    1.887638e+04
  2.658217e+01    1.851605e+04
  2.660505e+01    1.824231e+04
  2.662794e+01    1.804163e+04
  2.665082e+01    1.785427e+04
  2.667371e+01    1.771010e+04
  2.669659e+01    1.759271e+04
  2.671948e+01    1.747790e+04
  2.674237e+01    1.738590e+04
  2.676525e+01    1.730293e+04
  2.678814e+01    1.722133e+04
  2.681102e+01    1.715239e+04
  2.683391e+01    1.707110e+04
  2.685679e+01    1.700358e+04
  2.687968e+01    1.696270e+04
  2.690256e+01    1.686965e+04
  2.692545e+01    1.681745e+04
  2.694833e+01    1.674972e+04
  2.697122e+01    1.667784e+04
  2.699410e+01    1.662754e+04
  2.701699e+01    1.662720e+04
  2.703988e+01    1.656096e+04
  2.706276e+01    1.650968e+04
  2.708565e+01    1.647879e+04
  2.710853e+01    1.643408e+04
  2.713142e+01    1.639125e+04
  2.715430e+01    1.634310e+04
  2.717719e+01    1.629208e+04
  2.720007e+01    1.621768e+04
  2.722296e+01    1.616732e+04
  2.724584e+01    1.611377e+04
  2.726873e+01    1.609929e+04
  2.729161e+01    1.604812e+04
  2.731450e+01    1.600324e+04
  2.733738e+01    1.595262e+04
  2.736027e+01    1.589580e+04
  2.738316e+01    1.584752e+04
  2.740604e+01    1.580381e+04
  2.742893e+01    1.577553e+04
  2.745181e+01    1.576601e+04
  2.747470e+01    1.572448e+04
  2.749758e+01    1.568774e+04
  2.752047e+01    1.565842e+04
  2.754335e+01    1.563763e+04
  2.756624e+01    1.561808e+04
  2.758912e+01    1.560122e+04
  2.761201e+01    1.557474e+04
  2.763489e+01    1.554613e+04
  2.765778e+01    1.553658e+04
  2.768067e+01    1.553505e+04
  2.770355e+01    1.555975e+04
  2.772644e+01    1.555959e+04
  2.774932e+01    1.558240e+04
  2.777221e+01    1.568282e+04
  2.779509e+01    1.585347e+04
  2.781798e+01    1.615323e+04
  2.784086e+01    1.663859e+04
  2.786375e+01    1.742822e+04
  2.788663e+01    1.849099e+04
  2.790952e+01    1.958647e+04
  2.793240e+01    2.022774e+04
  2.795529e+01    1.999077e+04
  2.797818e+01    1.901039e+04
  2.800106e+01    1.777676e+04
  2.802395e+01    1.672837e+04
  2.804683e+01    1.600412e+04
  2.806972e+01    1.554380e+04
  2.809260e+01    1.524812e+04
  2.811549e+01    1.504287e+04
  2.813837e+01    1.490282e+04
  2.816126e+01    1.478432e+04
  2.818414e+01    1.468335e+04
  2.820703e+01    1.460261e+04
  2.822991e+01    1.452965e+04
  2.825280e+01    1.445952e+04
  2.827568e+01    1.440278e+04
  2.829857e+01    1.434926e+04
  2.832146e+01    1.430066e+04
  2.834434e+01    1.424679e+04
  2.836723e+01    1.419922e+04
  2.839011e+01    1.415510e+04
  2.841300e+01    1.410324e+04
  2.843588e+01    1.406641e+04
  2.845877e+01    1.401276e+04
  2.848165e+01    1.395456e+04
  2.850454e+01    1.391502e+04
  2.852742e+01    1.388983e+04
  2.855031e+01    1.387092e+04
  2.857319e+01    1.381821e+04
  2.859608e+01    1.376335e+04
  2.861897e+01    1.371553e+04
  2.864185e+01    1.366475e+04
  2.866474e+01    1.361838e+04
  2.868762e+01    1.355335e+04
  2.871051e+01    1.350886e+04
  2.873339e+01    1.346954e+04
  2.875628e+01    1.342142e+04
  2.877916e+01    1.337413e+04
  2.880205e+01    1.331550e+04
  2.882493e+01    1.327748e+04
  2.884782e+01    1.324681e+04
  2.887070e+01    1.320210e+04
  2.889359e+01    1.314457e+04
  2.891648e+01    1.309802e+04
  2.893936e+01    1.305458e+04
  2.896225e+01    1.300395e+04
  2.898513e+01    1.294915e+04
  2.900802e+01    1.291300e+04
  2.903090e+01    1.286364e+04
  2.905379e+01    1.280394e+04
  2.907667e+01    1.275859e+04
  2.909956e+01    1.270919e+04
  2.912244e+01    1.266433e+04
  2.914533e+01    1.262445e+04
  2.916821e+01    1.259247e+04
  2.919110e+01    1.255456e+04
  2.921398e+01    1.252002e+04
  2.923687e+01    1.249486e+04
  2.925976e+01    1.246267e+04
  2.928264e+01    1.244465e+04
  2.930553e+01    1.244919e+04
  2.932841e+01    1.244917e+04
  2.935130e+01    1.248392e+04
  2.937418e+01    1.257884e+04
  2.939707e+01    1.278734e+04
  2.941995e+01    1.309725e+04
  2.944284e+01    1.348776e+04
  2.946572e+01    1.383989e+04
  2.948861e+01    1.391453e+04
  2.951149e+01    1.366071e+04
  2.953438e+01    1.322051e+04
  2.955727e+01    1.274926e+04
  2.958015e+01    1.238465e+04
  2.960304e+01    1.215333e+04
  2.962592e+01    1.199789e+04
  2.964881e+01    1.188245e+04
  2.967169e+01    1.179929e+04
  2.969458e+01    1.174382e+04
  2.971746e+01    1.169476e+04
  2.974035e+01    1.165269e+04
  2.976323e+01    1.160702e+04
  2.978612e+01    1.158471e+04
  2.980900e+01    1.156430e+04
  2.983189e+01    1.153106e+04
  2.985478e+01    1.150352e+04
  2.987766e+01    1.146820e+04
  2.990055e+01    1.145338e+04
  2.992343e+01    1.145688e+04
  2.994632e+01    1.145811e+04
  2.996920e+01    1.145507e+04
  2.999209e+01    1.146073e+04
  3.001497e+01    1.147556e+04
  3.003786e+01    1.148829e+04
  3.006074e+01    1.149833e+04
  3.008363e+01    1.151196e+04
  3.010651e+01    1.154051e+04
  3.012940e+01    1.159309e+04
  3.015228e+01    1.163608e+04
  3.017517e+01    1.170611e+04
  3.019806e+01    1.182277e+04
  3.022094e+01    1.195521e+04
  3.024383e+01    1.214573e+04
  3.026671e+01    1.244466e+04
  3.028960e+01    1.290593e+04
  3.031248e+01    1.362325e+04
  3.033537e+01    1.482735e+04
  3.035825e+01    1.685298e+04
  3.038114e+01    2.033199e+04
  3.040402e+01    2.651162e+04
  3.042691e+01    3.749608e+04
  3.044979e+01    5.128618e+04
  3.047268e+01    6.206217e+04
  3.049557e+01    6.479544e+04
  3.051845e+01    5.863595e+04
  3.054134e+01    4.618912e+04
  3.056422e+01    3.298431e+04
  3.058711e+01    2.355060e+04
  3.060999e+01    1.844157e+04
  3.063288e+01    1.577611e+04
  3.065576e+01    1.424609e+04
  3.067865e+01    1.333336e+04
  3.070153e+01    1.278264e+04
  3.072442e+01    1.245896e+04
  3.074730e+01    1.230672e+04
  3.077019e+01    1.231372e+04
  3.079308e+01    1.250994e+04
  3.081596e+01    1.297200e+04
  3.083885e+01    1.388508e+04
  3.086173e+01    1.556199e+04
  3.088462e+01    1.838287e+04
  3.090750e+01    2.236014e+04
  3.093039e+01    2.657075e+04
  3.095327e+01    2.905534e+04
  3.097616e+01    2.840927e+04
  3.099904e+01    2.503183e+04
  3.102193e+01    2.066394e+04
  3.104481e+01    1.691558e+04
  3.106770e+01    1.438544e+04
  3.109059e+01    1.286276e+04
  3.111347e+01    1.199951e+04
  3.113636e+01    1.148759e+04
  3.115924e+01    1.115353e+04
  3.118213e+01    1.094442e+04
  3.120501e+01    1.079135e+04
  3.122790e+01    1.066703e+04
  3.125078e+01    1.057931e+04
  3.127367e+01    1.050123e+04
  3.129655e+01    1.043367e+04
  3.131944e+01    1.038062e+04
  3.134232e+01    1.032909e+04
  3.136521e+01    1.029098e+04
  3.138809e+01    1.025843e+04
  3.141098e+01    1.022412e+04
  3.143387e+01    1.019392e+04
  3.145675e+01    1.016248e+04
