# == pyFAI calibration ==
# Distance Sample to Detector: 0.26161527513677846 m
# PONI: 2.023e-01, 2.348e-01 m
# Rotations: -0.026380 0.002005 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 261.707 mm
# Center: x=6119.331, y=5134.776 pix
# Tilt: 1.516 deg  TiltPlanRot: 4.347 deg
# 
# Detector Rayonix SX165	 PixelSize= 3.950e-05, 3.950e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.1271290727272727e-10 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ROCK\\WAM39B_integrated\uholder_perp_xrd_000001_integrated.dat
#       2th_deg             I 
  2.502596e+01    1.856119e+03
  2.504885e+01    4.863374e+03
  2.507173e+01    6.546916e+03
  2.509462e+01    6.965665e+03
  2.511750e+01    7.684823e+03
  2.514039e+01    8.067699e+03
  2.516327e+01    8.147214e+03
  2.518616e+01    8.173049e+03
  2.520905e+01    8.195188e+03
  2.523193e+01    8.134923e+03
  2.525482e+01    8.195347e+03
  2.527770e+01    8.413266e+03
  2.530059e+01    8.432734e+03
  2.532347e+01    8.391072e+03
  2.534636e+01    8.351909e+03
  2.536924e+01    8.337222e+03
  2.539213e+01    8.346569e+03
  2.541501e+01    8.346614e+03
  2.543790e+01    8.349529e+03
  2.546078e+01    8.362753e+03
  2.548367e+01    8.326546e+03
  2.550656e+01    8.221463e+03
  2.552944e+01    8.145262e+03
  2.555233e+01    8.200220e+03
  2.557521e+01    8.213586e+03
  2.559810e+01    8.170158e+03
  2.562098e+01    8.157614e+03
  2.564387e+01    8.150931e+03
  2.566675e+01    8.147906e+03
  2.568964e+01    8.125722e+03
  2.571252e+01    8.120276e+03
  2.573541e+01    8.141831e+03
  2.575829e+01    8.133028e+03
  2.578118e+01    8.097685e+03
  2.580407e+01    8.092486e+03
  2.582695e+01    8.084003e+03
  2.584984e+01    8.048134e+03
  2.587272e+01    8.008856e+03
  2.589561e+01    7.990046e+03
  2.591849e+01    7.918415e+03
  2.594138e+01    7.843206e+03
  2.596426e+01    7.793103e+03
  2.598715e+01    7.711990e+03
  2.601003e+01    7.644425e+03
  2.603292e+01    7.554163e+03
  2.605580e+01    7.470055e+03
  2.607869e+01    7.397655e+03
  2.610157e+01    7.309265e+03
  2.612446e+01    7.213374e+03
  2.614735e+01    7.116296e+03
  2.617023e+01    7.016604e+03
  2.619312e+01    6.920542e+03
  2.621600e+01    6.838730e+03
  2.623889e+01    6.748952e+03
  2.626177e+01    6.693202e+03
  2.628466e+01    6.649021e+03
  2.630754e+01    6.628863e+03
  2.633043e+01    6.654673e+03
  2.635331e+01    6.766787e+03
  2.637620e+01    7.000459e+03
  2.639908e+01    7.387979e+03
  2.642197e+01    7.964553e+03
  2.644486e+01    8.675294e+03
  2.646774e+01    9.381785e+03
  2.649063e+01    9.824069e+03
  2.651351e+01    9.955618e+03
  2.653640e+01    9.838672e+03
  2.655928e+01    9.736092e+03
  2.658217e+01    9.938885e+03
  2.660505e+01    1.060573e+04
  2.662794e+01    1.163548e+04
  2.665082e+01    1.265827e+04
  2.667371e+01    1.322339e+04
  2.669659e+01    1.302513e+04
  2.671948e+01    1.199404e+04
  2.674237e+01    1.038097e+04
  2.676525e+01    8.816664e+03
  2.678814e+01    7.628210e+03
  2.681102e+01    6.828179e+03
  2.683391e+01    6.306529e+03
  2.685679e+01    5.977639e+03
  2.687968e+01    5.768486e+03
  2.690256e+01    5.603802e+03
  2.692545e+01    5.490138e+03
  2.694833e+01    5.405462e+03
  2.697122e+01    5.348349e+03
  2.699410e+01    5.305195e+03
  2.701699e+01    5.273936e+03
  2.703988e+01    5.232771e+03
  2.706276e+01    5.199566e+03
  2.708565e+01    5.176261e+03
  2.710853e+01    5.151502e+03
  2.713142e+01    5.125287e+03
  2.715430e+01    5.105732e+03
  2.717719e+01    5.087134e+03
  2.720007e+01    5.064310e+03
  2.722296e+01    5.043790e+03
  2.724584e+01    5.022151e+03
  2.726873e+01    5.013049e+03
  2.729161e+01    4.996006e+03
  2.731450e+01    4.980320e+03
  2.733738e+01    4.959452e+03
  2.736027e+01    4.938817e+03
  2.738316e+01    4.924961e+03
  2.740604e+01    4.912879e+03
  2.742893e+01    4.900936e+03
  2.745181e+01    4.892269e+03
  2.747470e+01    4.879482e+03
  2.749758e+01    4.867042e+03
  2.752047e+01    4.858881e+03
  2.754335e+01    4.851002e+03
  2.756624e+01    4.840934e+03
  2.758912e+01    4.830393e+03
  2.761201e+01    4.814989e+03
  2.763489e+01    4.804122e+03
  2.765778e+01    4.804372e+03
  2.768067e+01    4.803456e+03
  2.770355e+01    4.801354e+03
  2.772644e+01    4.790815e+03
  2.774932e+01    4.785327e+03
  2.777221e+01    4.787551e+03
  2.779509e+01    4.791430e+03
  2.781798e+01    4.798909e+03
  2.784086e+01    4.802767e+03
  2.786375e+01    4.813064e+03
  2.788663e+01    4.828647e+03
  2.790952e+01    4.849585e+03
  2.793240e+01    4.878829e+03
  2.795529e+01    4.914694e+03
  2.797818e+01    4.975692e+03
  2.800106e+01    5.070747e+03
  2.802395e+01    5.219611e+03
  2.804683e+01    5.448402e+03
  2.806972e+01    5.753549e+03
  2.809260e+01    6.093623e+03
  2.811549e+01    6.374472e+03
  2.813837e+01    6.506276e+03
  2.816126e+01    6.428956e+03
  2.818414e+01    6.168359e+03
  2.820703e+01    5.821621e+03
  2.822991e+01    5.492595e+03
  2.825280e+01    5.243276e+03
  2.827568e+01    5.075879e+03
  2.829857e+01    4.958200e+03
  2.832146e+01    4.864718e+03
  2.834434e+01    4.788147e+03
  2.836723e+01    4.727030e+03
  2.839011e+01    4.673059e+03
  2.841300e+01    4.623772e+03
  2.843588e+01    4.590590e+03
  2.845877e+01    4.554010e+03
  2.848165e+01    4.518058e+03
  2.850454e+01    4.489081e+03
  2.852742e+01    4.464895e+03
  2.855031e+01    4.448396e+03
  2.857319e+01    4.424149e+03
  2.859608e+01    4.404494e+03
  2.861897e+01    4.385450e+03
  2.864185e+01    4.363484e+03
  2.866474e+01    4.345671e+03
  2.868762e+01    4.323925e+03
  2.871051e+01    4.312787e+03
  2.873339e+01    4.301979e+03
  2.875628e+01    4.290179e+03
  2.877916e+01    4.276543e+03
  2.880205e+01    4.260486e+03
  2.882493e+01    4.251581e+03
  2.884782e+01    4.245688e+03
  2.887070e+01    4.233176e+03
  2.889359e+01    4.223138e+03
  2.891648e+01    4.216254e+03
  2.893936e+01    4.209009e+03
  2.896225e+01    4.201964e+03
  2.898513e+01    4.195202e+03
