# == pyFAI calibration ==
# Distance Sample to Detector: 0.26161527513677846 m
# PONI: 2.023e-01, 2.348e-01 m
# Rotations: -0.026380 0.002005 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 261.707 mm
# Center: x=6119.331, y=5134.776 pix
# Tilt: 1.516 deg  TiltPlanRot: 4.347 deg
# 
# Detector Rayonix SX165	 PixelSize= 3.950e-05, 3.950e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.1271290727272727e-10 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ROCK\\WAM39B_integrated\uholder_toic_xrd_000001_integrated.dat
#       2th_deg             I 
  2.502596e+01    1.264233e+03
  2.504885e+01    3.312904e+03
  2.507173e+01    4.465236e+03
  2.509462e+01    4.759171e+03
  2.511750e+01    5.232546e+03
  2.514039e+01    5.485607e+03
  2.516327e+01    5.532655e+03
  2.518616e+01    5.547027e+03
  2.520905e+01    5.559117e+03
  2.523193e+01    5.517631e+03
  2.525482e+01    5.568688e+03
  2.527770e+01    5.717441e+03
  2.530059e+01    5.726815e+03
  2.532347e+01    5.700942e+03
  2.534636e+01    5.678042e+03
  2.536924e+01    5.669677e+03
  2.539213e+01    5.683476e+03
  2.541501e+01    5.695301e+03
  2.543790e+01    5.697445e+03
  2.546078e+01    5.714121e+03
  2.548367e+01    5.712795e+03
  2.550656e+01    5.669976e+03
  2.552944e+01    5.648892e+03
  2.555233e+01    5.724904e+03
  2.557521e+01    5.770869e+03
  2.559810e+01    5.778121e+03
  2.562098e+01    5.809969e+03
  2.564387e+01    5.863136e+03
  2.566675e+01    5.931977e+03
  2.568964e+01    5.975580e+03
  2.571252e+01    6.022006e+03
  2.573541e+01    6.093093e+03
  2.575829e+01    6.147961e+03
  2.578118e+01    6.180390e+03
  2.580407e+01    6.223830e+03
  2.582695e+01    6.259936e+03
  2.584984e+01    6.274417e+03
  2.587272e+01    6.276998e+03
  2.589561e+01    6.283563e+03
  2.591849e+01    6.246058e+03
  2.594138e+01    6.205997e+03
  2.596426e+01    6.182907e+03
  2.598715e+01    6.123509e+03
  2.601003e+01    6.092829e+03
  2.603292e+01    6.044975e+03
  2.605580e+01    5.997359e+03
  2.607869e+01    5.973005e+03
  2.610157e+01    5.941380e+03
  2.612446e+01    5.901963e+03
  2.614735e+01    5.869883e+03
  2.617023e+01    5.839803e+03
  2.619312e+01    5.820960e+03
  2.621600e+01    5.827590e+03
  2.623889e+01    5.833039e+03
  2.626177e+01    5.864852e+03
  2.628466e+01    5.930620e+03
  2.630754e+01    6.036752e+03
  2.633043e+01    6.204732e+03
  2.635331e+01    6.471679e+03
  2.637620e+01    6.901864e+03
  2.639908e+01    7.545881e+03
  2.642197e+01    8.430946e+03
  2.644486e+01    9.516696e+03
  2.646774e+01    1.063571e+04
  2.649063e+01    1.142017e+04
  2.651351e+01    1.170552e+04
  2.653640e+01    1.148540e+04
  2.655928e+01    1.115276e+04
  2.658217e+01    1.123528e+04
  2.660505e+01    1.200782e+04
  2.662794e+01    1.337186e+04
  2.665082e+01    1.492664e+04
  2.667371e+01    1.614333e+04
  2.669659e+01    1.626194e+04
  2.671948e+01    1.471560e+04
  2.674237e+01    1.222809e+04
  2.676525e+01    9.955617e+03
  2.678814e+01    8.315175e+03
  2.681102e+01    7.243212e+03
  2.683391e+01    6.557481e+03
  2.685679e+01    6.116437e+03
  2.687968e+01    5.829885e+03
  2.690256e+01    5.616150e+03
  2.692545e+01    5.470374e+03
  2.694833e+01    5.358227e+03
  2.697122e+01    5.271861e+03
  2.699410e+01    5.210240e+03
  2.701699e+01    5.166277e+03
  2.703988e+01    5.114255e+03
  2.706276e+01    5.077260e+03
  2.708565e+01    5.054487e+03
  2.710853e+01    5.032707e+03
  2.713142e+01    5.006727e+03
  2.715430e+01    4.979758e+03
  2.717719e+01    4.959343e+03
  2.720007e+01    4.931403e+03
  2.722296e+01    4.908990e+03
  2.724584e+01    4.885164e+03
  2.726873e+01    4.877592e+03
  2.729161e+01    4.863295e+03
  2.731450e+01    4.847614e+03
  2.733738e+01    4.824938e+03
  2.736027e+01    4.802244e+03
  2.738316e+01    4.786648e+03
  2.740604e+01    4.773303e+03
  2.742893e+01    4.764064e+03
  2.745181e+01    4.759657e+03
  2.747470e+01    4.748456e+03
  2.749758e+01    4.739009e+03
  2.752047e+01    4.732230e+03
  2.754335e+01    4.724622e+03
  2.756624e+01    4.717196e+03
  2.758912e+01    4.709289e+03
  2.761201e+01    4.701123e+03
  2.763489e+01    4.697497e+03
  2.765778e+01    4.700000e+03
  2.768067e+01    4.695588e+03
  2.770355e+01    4.697314e+03
  2.772644e+01    4.695476e+03
  2.774932e+01    4.691308e+03
  2.777221e+01    4.699339e+03
  2.779509e+01    4.708855e+03
  2.781798e+01    4.725237e+03
  2.784086e+01    4.740720e+03
  2.786375e+01    4.763845e+03
  2.788663e+01    4.784628e+03
  2.790952e+01    4.810336e+03
  2.793240e+01    4.854916e+03
  2.795529e+01    4.913405e+03
  2.797818e+01    4.997819e+03
  2.800106e+01    5.129826e+03
  2.802395e+01    5.342375e+03
  2.804683e+01    5.659526e+03
  2.806972e+01    6.080465e+03
  2.809260e+01    6.564262e+03
  2.811549e+01    6.995349e+03
  2.813837e+01    7.235624e+03
  2.816126e+01    7.150159e+03
  2.818414e+01    6.753134e+03
  2.820703e+01    6.216602e+03
  2.822991e+01    5.741621e+03
  2.825280e+01    5.401595e+03
  2.827568e+01    5.181740e+03
  2.829857e+01    5.029157e+03
  2.832146e+01    4.918654e+03
  2.834434e+01    4.824948e+03
  2.836723e+01    4.742263e+03
  2.839011e+01    4.673939e+03
  2.841300e+01    4.613266e+03
  2.843588e+01    4.562420e+03
  2.845877e+01    4.512305e+03
  2.848165e+01    4.469799e+03
  2.850454e+01    4.435863e+03
  2.852742e+01    4.404308e+03
  2.855031e+01    4.380933e+03
  2.857319e+01    4.353784e+03
  2.859608e+01    4.328326e+03
  2.861897e+01    4.308140e+03
  2.864185e+01    4.289061e+03
  2.866474e+01    4.273658e+03
  2.868762e+01    4.249805e+03
  2.871051e+01    4.232939e+03
  2.873339e+01    4.221738e+03
  2.875628e+01    4.210670e+03
  2.877916e+01    4.202815e+03
  2.880205e+01    4.183766e+03
  2.882493e+01    4.169972e+03
  2.884782e+01    4.162713e+03
  2.887070e+01    4.155538e+03
  2.889359e+01    4.148659e+03
  2.891648e+01    4.144007e+03
  2.893936e+01    4.141017e+03
  2.896225e+01    4.134993e+03
  2.898513e+01    4.136065e+03
  2.900802e+01    4.140689e+03
  2.903090e+01    4.137798e+03
  2.905379e+01    4.136766e+03
  2.907667e+01    4.146367e+03
  2.909956e+01    4.156294e+03
  2.912244e+01    4.162408e+03
  2.914533e+01    4.165827e+03
  2.916821e+01    4.170536e+03
  2.919110e+01    4.166167e+03
  2.921398e+01    4.160445e+03
  2.923687e+01    4.152960e+03
  2.925976e+01    4.135068e+03
  2.928264e+01    4.118192e+03
  2.930553e+01    4.102654e+03
  2.932841e+01    4.079066e+03
  2.935130e+01    4.055757e+03
  2.937418e+01    4.037915e+03
  2.939707e+01    4.031725e+03
  2.941995e+01    4.015812e+03
  2.944284e+01    4.000370e+03
  2.946572e+01    3.996653e+03
  2.948861e+01    3.995560e+03
  2.951149e+01    4.000606e+03
  2.953438e+01    4.013966e+03
  2.955727e+01    4.042718e+03
  2.958015e+01    4.100733e+03
  2.960304e+01    4.200688e+03
  2.962592e+01    4.348693e+03
  2.964881e+01    4.525723e+03
  2.967169e+01    4.681855e+03
  2.969458e+01    4.771934e+03
  2.971746e+01    4.746959e+03
  2.974035e+01    4.595026e+03
  2.976323e+01    4.385649e+03
  2.978612e+01    4.211301e+03
  2.980900e+01    4.098182e+03
  2.983189e+01    4.031085e+03
  2.985478e+01    3.989730e+03
  2.987766e+01    3.957984e+03
  2.990055e+01    4.027003e+03
  2.992343e+01    4.235843e+03
  2.994632e+01    4.175044e+03
  2.996920e+01    3.947348e+03
  2.999209e+01    3.924303e+03
  3.001497e+01    3.926909e+03
  3.003786e+01    3.929174e+03
  3.006074e+01    3.926850e+03
  3.008363e+01    3.923223e+03
  3.010651e+01    3.926415e+03
  3.012940e+01    3.932988e+03
  3.015228e+01    3.930668e+03
  3.017517e+01    3.932046e+03
  3.019806e+01    3.946589e+03
  3.022094e+01    3.945320e+03
  3.024383e+01    3.939659e+03
  3.026671e+01    3.943831e+03
  3.028960e+01    3.948250e+03
  3.031248e+01    3.952955e+03
  3.033537e+01    3.963545e+03
  3.035825e+01    3.976587e+03
  3.038114e+01    3.990770e+03
  3.040402e+01    4.006726e+03
  3.042691e+01    4.022443e+03
  3.044979e+01    4.037188e+03
  3.047268e+01    4.057392e+03
  3.049557e+01    4.082402e+03
  3.051845e+01    4.108143e+03
  3.054134e+01    4.138515e+03
  3.056422e+01    4.188010e+03
  3.058711e+01    4.249549e+03
  3.060999e+01    4.323601e+03
  3.063288e+01    4.424850e+03
  3.065576e+01    4.562889e+03
  3.067865e+01    4.757590e+03
  3.070153e+01    5.041700e+03
  3.072442e+01    5.462098e+03
  3.074730e+01    6.078656e+03
  3.077019e+01    6.970137e+03
  3.079308e+01    8.236074e+03
  3.081596e+01    9.907877e+03
  3.083885e+01    1.196467e+04
  3.086173e+01    1.418543e+04
  3.088462e+01    1.616494e+04
  3.090750e+01    1.731346e+04
  3.093039e+01    1.715425e+04
  3.095327e+01    1.570500e+04
  3.097616e+01    1.353669e+04
  3.099904e+01    1.134791e+04
  3.102193e+01    9.611143e+03
  3.104481e+01    8.487183e+03
  3.106770e+01    8.010104e+03
  3.109059e+01    8.194397e+03
  3.111347e+01    9.036077e+03
  3.113636e+01    1.030540e+04
  3.115924e+01    1.154106e+04
  3.118213e+01    1.217702e+04
  3.120501e+01    1.175151e+04
  3.122790e+01    1.026104e+04
  3.125078e+01    8.325427e+03
  3.127367e+01    6.661023e+03
