# == pyFAI calibration ==
# Distance Sample to Detector: 0.26161527513677846 m
# PONI: 2.023e-01, 2.348e-01 m
# Rotations: -0.026380 0.002005 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 261.707 mm
# Center: x=6119.331, y=5134.776 pix
# Tilt: 1.516 deg  TiltPlanRot: 4.347 deg
# 
# Detector Rayonix SX165	 PixelSize= 3.950e-05, 3.950e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.1271290727272727e-10 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ROCK\\WAM39B_integrated\wam39b_fin_palier_1_xrd_000001_integrated.dat
#       2th_deg             I 
  2.502596e+01    4.794013e+03
  2.504885e+01    1.259213e+04
  2.507173e+01    1.695750e+04
  2.509462e+01    1.802738e+04
  2.511750e+01    1.973443e+04
  2.514039e+01    2.043246e+04
  2.516327e+01    2.032343e+04
  2.518616e+01    2.011641e+04
  2.520905e+01    1.998357e+04
  2.523193e+01    1.975079e+04
  2.525482e+01    1.983198e+04
  2.527770e+01    2.020038e+04
  2.530059e+01    2.011127e+04
  2.532347e+01    1.989700e+04
  2.534636e+01    1.970059e+04
  2.536924e+01    1.957780e+04
  2.539213e+01    1.952865e+04
  2.541501e+01    1.949232e+04
  2.543790e+01    1.946677e+04
  2.546078e+01    1.947281e+04
  2.548367e+01    1.941196e+04
  2.550656e+01    1.920666e+04
  2.552944e+01    1.903891e+04
  2.555233e+01    1.920395e+04
  2.557521e+01    1.927200e+04
  2.559810e+01    1.918299e+04
  2.562098e+01    1.916372e+04
  2.564387e+01    1.918194e+04
  2.566675e+01    1.919504e+04
  2.568964e+01    1.910662e+04
  2.571252e+01    1.903109e+04
  2.573541e+01    1.902705e+04
  2.575829e+01    1.897714e+04
  2.578118e+01    1.887171e+04
  2.580407e+01    1.883325e+04
  2.582695e+01    1.882800e+04
  2.584984e+01    1.881081e+04
  2.587272e+01    1.879654e+04
  2.589561e+01    1.886250e+04
  2.591849e+01    1.886247e+04
  2.594138e+01    1.890761e+04
  2.596426e+01    1.902592e+04
  2.598715e+01    1.907107e+04
  2.601003e+01    1.924261e+04
  2.603292e+01    1.940865e+04
  2.605580e+01    1.963269e+04
  2.607869e+01    2.000452e+04
  2.610157e+01    2.048345e+04
  2.612446e+01    2.120334e+04
  2.614735e+01    2.231468e+04
  2.617023e+01    2.404539e+04
  2.619312e+01    2.689143e+04
  2.621600e+01    3.160940e+04
  2.623889e+01    3.899378e+04
  2.626177e+01    4.908260e+04
  2.628466e+01    5.914864e+04
  2.630754e+01    6.450467e+04
  2.633043e+01    6.209683e+04
  2.635331e+01    5.307734e+04
  2.637620e+01    4.192717e+04
  2.639908e+01    3.286069e+04
  2.642197e+01    2.710085e+04
  2.644486e+01    2.385885e+04
  2.646774e+01    2.198958e+04
  2.649063e+01    2.069084e+04
  2.651351e+01    1.985296e+04
  2.653640e+01    1.925250e+04
  2.655928e+01    1.882382e+04
  2.658217e+01    1.849423e+04
  2.660505e+01    1.824650e+04
  2.662794e+01    1.805878e+04
  2.665082e+01    1.788252e+04
  2.667371e+01    1.775040e+04
  2.669659e+01    1.763273e+04
  2.671948e+01    1.753146e+04
  2.674237e+01    1.744829e+04
  2.676525e+01    1.736423e+04
  2.678814e+01    1.728414e+04
  2.681102e+01    1.721579e+04
  2.683391e+01    1.713533e+04
  2.685679e+01    1.707501e+04
  2.687968e+01    1.703690e+04
  2.690256e+01    1.694511e+04
  2.692545e+01    1.689636e+04
  2.694833e+01    1.682773e+04
  2.697122e+01    1.676074e+04
  2.699410e+01    1.671306e+04
  2.701699e+01    1.670821e+04
  2.703988e+01    1.663345e+04
  2.706276e+01    1.658148e+04
  2.708565e+01    1.655504e+04
  2.710853e+01    1.650643e+04
  2.713142e+01    1.645564e+04
  2.715430e+01    1.641638e+04
  2.717719e+01    1.636397e+04
  2.720007e+01    1.628951e+04
  2.722296e+01    1.624149e+04
  2.724584e+01    1.618158e+04
  2.726873e+01    1.616688e+04
  2.729161e+01    1.613334e+04
  2.731450e+01    1.608480e+04
  2.733738e+01    1.602872e+04
  2.736027e+01    1.597463e+04
  2.738316e+01    1.593495e+04
  2.740604e+01    1.589598e+04
  2.742893e+01    1.586757e+04
  2.745181e+01    1.584865e+04
  2.747470e+01    1.580835e+04
  2.749758e+01    1.577230e+04
  2.752047e+01    1.573109e+04
  2.754335e+01    1.570538e+04
  2.756624e+01    1.569898e+04
  2.758912e+01    1.567842e+04
  2.761201e+01    1.563883e+04
  2.763489e+01    1.560707e+04
  2.765778e+01    1.560856e+04
  2.768067e+01    1.561301e+04
  2.770355e+01    1.563151e+04
  2.772644e+01    1.563800e+04
  2.774932e+01    1.567011e+04
  2.777221e+01    1.576430e+04
  2.779509e+01    1.594248e+04
  2.781798e+01    1.626789e+04
  2.784086e+01    1.679810e+04
  2.786375e+01    1.766927e+04
  2.788663e+01    1.882044e+04
  2.790952e+01    1.991901e+04
  2.793240e+01    2.043327e+04
  2.795529e+01    2.000791e+04
  2.797818e+01    1.888493e+04
  2.800106e+01    1.761776e+04
  2.802395e+01    1.660815e+04
  2.804683e+01    1.594793e+04
  2.806972e+01    1.553910e+04
  2.809260e+01    1.527336e+04
  2.811549e+01    1.509248e+04
  2.813837e+01    1.496838e+04
  2.816126e+01    1.485226e+04
  2.818414e+01    1.474989e+04
  2.820703e+01    1.466656e+04
  2.822991e+01    1.458794e+04
  2.825280e+01    1.452334e+04
  2.827568e+01    1.447688e+04
  2.829857e+01    1.442569e+04
  2.832146e+01    1.437235e+04
  2.834434e+01    1.431729e+04
  2.836723e+01    1.427041e+04
  2.839011e+01    1.422669e+04
  2.841300e+01    1.417583e+04
  2.843588e+01    1.413963e+04
  2.845877e+01    1.408626e+04
  2.848165e+01    1.403850e+04
  2.850454e+01    1.400485e+04
  2.852742e+01    1.396236e+04
  2.855031e+01    1.392901e+04
  2.857319e+01    1.387485e+04
  2.859608e+01    1.382211e+04
  2.861897e+01    1.377879e+04
  2.864185e+01    1.373545e+04
  2.866474e+01    1.369112e+04
  2.868762e+01    1.362296e+04
  2.871051e+01    1.357312e+04
  2.873339e+01    1.353326e+04
  2.875628e+01    1.347886e+04
  2.877916e+01    1.343834e+04
  2.880205e+01    1.338989e+04
  2.882493e+01    1.333679e+04
  2.884782e+01    1.328803e+04
  2.887070e+01    1.324398e+04
  2.889359e+01    1.319785e+04
  2.891648e+01    1.314904e+04
  2.893936e+01    1.311198e+04
  2.896225e+01    1.306273e+04
  2.898513e+01    1.301119e+04
  2.900802e+01    1.296853e+04
  2.903090e+01    1.290615e+04
  2.905379e+01    1.284488e+04
  2.907667e+01    1.280883e+04
  2.909956e+01    1.276538e+04
  2.912244e+01    1.272571e+04
  2.914533e+01    1.268977e+04
  2.916821e+01    1.265675e+04
  2.919110e+01    1.261538e+04
  2.921398e+01    1.257955e+04
  2.923687e+01    1.255796e+04
  2.925976e+01    1.252527e+04
  2.928264e+01    1.249916e+04
  2.930553e+01    1.249327e+04
  2.932841e+01    1.250350e+04
  2.935130e+01    1.254407e+04
  2.937418e+01    1.265448e+04
  2.939707e+01    1.289037e+04
  2.941995e+01    1.323311e+04
  2.944284e+01    1.365615e+04
  2.946572e+01    1.399565e+04
  2.948861e+01    1.399890e+04
  2.951149e+01    1.367196e+04
  2.953438e+01    1.319067e+04
  2.955727e+01    1.271827e+04
  2.958015e+01    1.236728e+04
  2.960304e+01    1.215378e+04
  2.962592e+01    1.201648e+04
  2.964881e+01    1.191461e+04
  2.967169e+01    1.183829e+04
  2.969458e+01    1.179217e+04
  2.971746e+01    1.173959e+04
  2.974035e+01    1.169246e+04
  2.976323e+01    1.165440e+04
  2.978612e+01    1.162796e+04
  2.980900e+01    1.159867e+04
  2.983189e+01    1.156818e+04
  2.985478e+01    1.154941e+04
  2.987766e+01    1.152286e+04
  2.990055e+01    1.150945e+04
  2.992343e+01    1.150155e+04
  2.994632e+01    1.148680e+04
  2.996920e+01    1.148263e+04
  2.999209e+01    1.149431e+04
  3.001497e+01    1.150728e+04
  3.003786e+01    1.151971e+04
  3.006074e+01    1.153341e+04
  3.008363e+01    1.154848e+04
  3.010651e+01    1.157737e+04
  3.012940e+01    1.162835e+04
  3.015228e+01    1.166500e+04
  3.017517e+01    1.172847e+04
  3.019806e+01    1.184755e+04
  3.022094e+01    1.198778e+04
