# == pyFAI calibration ==
# Distance Sample to Detector: 0.26161527513677846 m
# PONI: 2.023e-01, 2.348e-01 m
# Rotations: -0.026380 0.002005 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 261.707 mm
# Center: x=6119.331, y=5134.776 pix
# Tilt: 1.516 deg  TiltPlanRot: 4.347 deg
# 
# Detector Rayonix SX165	 PixelSize= 3.950e-05, 3.950e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.1271290727272727e-10 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ROCK\\WAM39B_integrated\wam39b_fin_palier_zn_4_xrd_000001_integrated.dat
#       2th_deg             I 
  2.502596e+01    4.202184e+03
  2.504885e+01    1.103120e+04
  2.507173e+01    1.486473e+04
  2.509462e+01    1.581038e+04
  2.511750e+01    1.729175e+04
  2.514039e+01    1.789533e+04
  2.516327e+01    1.783285e+04
  2.518616e+01    1.769603e+04
  2.520905e+01    1.758634e+04
  2.523193e+01    1.735881e+04
  2.525482e+01    1.740901e+04
  2.527770e+01    1.772871e+04
  2.530059e+01    1.765823e+04
  2.532347e+01    1.748564e+04
  2.534636e+01    1.732861e+04
  2.536924e+01    1.725389e+04
  2.539213e+01    1.724424e+04
  2.541501e+01    1.724638e+04
  2.543790e+01    1.727215e+04
  2.546078e+01    1.734000e+04
  2.548367e+01    1.735481e+04
  2.550656e+01    1.727224e+04
  2.552944e+01    1.725455e+04
  2.555233e+01    1.755083e+04
  2.557521e+01    1.775408e+04
  2.559810e+01    1.780205e+04
  2.562098e+01    1.790945e+04
  2.564387e+01    1.802657e+04
  2.566675e+01    1.812458e+04
  2.568964e+01    1.813405e+04
  2.571252e+01    1.812524e+04
  2.573541e+01    1.814143e+04
  2.575829e+01    1.807177e+04
  2.578118e+01    1.792020e+04
  2.580407e+01    1.780659e+04
  2.582695e+01    1.769945e+04
  2.584984e+01    1.756823e+04
  2.587272e+01    1.743992e+04
  2.589561e+01    1.737945e+04
  2.591849e+01    1.725315e+04
  2.594138e+01    1.715638e+04
  2.596426e+01    1.712141e+04
  2.598715e+01    1.701561e+04
  2.601003e+01    1.700937e+04
  2.603292e+01    1.697227e+04
  2.605580e+01    1.696310e+04
  2.607869e+01    1.703301e+04
  2.610157e+01    1.711873e+04
  2.612446e+01    1.725719e+04
  2.614735e+01    1.749477e+04
  2.617023e+01    1.784993e+04
  2.619312e+01    1.840191e+04
  2.621600e+01    1.928524e+04
  2.623889e+01    2.057856e+04
  2.626177e+01    2.264320e+04
  2.628466e+01    2.565208e+04
  2.630754e+01    2.944246e+04
  2.633043e+01    3.330687e+04
  2.635331e+01    3.659980e+04
  2.637620e+01    3.953987e+04
  2.639908e+01    4.231329e+04
  2.642197e+01    4.383368e+04
  2.644486e+01    4.272904e+04
  2.646774e+01    3.892805e+04
  2.649063e+01    3.353441e+04
  2.651351e+01    2.842992e+04
  2.653640e+01    2.439964e+04
  2.655928e+01    2.157435e+04
  2.658217e+01    1.967534e+04
  2.660505e+01    1.841036e+04
  2.662794e+01    1.755049e+04
  2.665082e+01    1.692034e+04
  2.667371e+01    1.647364e+04
  2.669659e+01    1.614086e+04
  2.671948e+01    1.588656e+04
  2.674237e+01    1.569843e+04
  2.676525e+01    1.554793e+04
  2.678814e+01    1.541423e+04
  2.681102e+01    1.530898e+04
  2.683391e+01    1.521059e+04
  2.685679e+01    1.512894e+04
  2.687968e+01    1.506512e+04
  2.690256e+01    1.496297e+04
  2.692545e+01    1.490426e+04
  2.694833e+01    1.484198e+04
  2.697122e+01    1.477131e+04
  2.699410e+01    1.471167e+04
  2.701699e+01    1.469919e+04
  2.703988e+01    1.462838e+04
  2.706276e+01    1.457676e+04
  2.708565e+01    1.455419e+04
  2.710853e+01    1.450961e+04
  2.713142e+01    1.447082e+04
  2.715430e+01    1.442933e+04
  2.717719e+01    1.438501e+04
  2.720007e+01    1.432263e+04
  2.722296e+01    1.429182e+04
  2.724584e+01    1.424555e+04
  2.726873e+01    1.422793e+04
  2.729161e+01    1.418623e+04
  2.731450e+01    1.415321e+04
  2.733738e+01    1.410754e+04
  2.736027e+01    1.406587e+04
  2.738316e+01    1.403659e+04
  2.740604e+01    1.400627e+04
  2.742893e+01    1.398917e+04
  2.745181e+01    1.399308e+04
  2.747470e+01    1.396873e+04
  2.749758e+01    1.394990e+04
  2.752047e+01    1.393842e+04
  2.754335e+01    1.394084e+04
  2.756624e+01    1.394893e+04
  2.758912e+01    1.396210e+04
  2.761201e+01    1.396811e+04
  2.763489e+01    1.397916e+04
  2.765778e+01    1.401461e+04
  2.768067e+01    1.406117e+04
  2.770355e+01    1.411855e+04
  2.772644e+01    1.415888e+04
  2.774932e+01    1.421947e+04
  2.777221e+01    1.432704e+04
  2.779509e+01    1.446389e+04
  2.781798e+01    1.466453e+04
  2.784086e+01    1.492205e+04
  2.786375e+01    1.532163e+04
  2.788663e+01    1.591693e+04
  2.790952e+01    1.678620e+04
  2.793240e+01    1.790418e+04
  2.795529e+01    1.889438e+04
  2.797818e+01    1.926234e+04
  2.800106e+01    1.877184e+04
  2.802395e+01    1.766247e+04
  2.804683e+01    1.644060e+04
  2.806972e+01    1.545491e+04
  2.809260e+01    1.477303e+04
  2.811549e+01    1.432213e+04
  2.813837e+01    1.400602e+04
  2.816126e+01    1.376686e+04
  2.818414e+01    1.357084e+04
  2.820703e+01    1.340848e+04
  2.822991e+01    1.326238e+04
  2.825280e+01    1.313789e+04
  2.827568e+01    1.303732e+04
  2.829857e+01    1.294040e+04
  2.832146e+01    1.286107e+04
  2.834434e+01    1.278160e+04
  2.836723e+01    1.270520e+04
  2.839011e+01    1.263615e+04
  2.841300e+01    1.256160e+04
  2.843588e+01    1.250610e+04
  2.845877e+01    1.245242e+04
  2.848165e+01    1.240733e+04
  2.850454e+01    1.236526e+04
  2.852742e+01    1.232465e+04
  2.855031e+01    1.228910e+04
  2.857319e+01    1.223177e+04
  2.859608e+01    1.218571e+04
  2.861897e+01    1.214925e+04
  2.864185e+01    1.210792e+04
  2.866474e+01    1.207758e+04
  2.868762e+01    1.202739e+04
  2.871051e+01    1.199453e+04
  2.873339e+01    1.196524e+04
  2.875628e+01    1.193559e+04
  2.877916e+01    1.191811e+04
  2.880205e+01    1.190121e+04
  2.882493e+01    1.188530e+04
  2.884782e+01    1.187601e+04
  2.887070e+01    1.187061e+04
  2.889359e+01    1.186317e+04
  2.891648e+01    1.184459e+04
  2.893936e+01    1.182346e+04
  2.896225e+01    1.178504e+04
  2.898513e+01    1.173442e+04
  2.900802e+01    1.168432e+04
  2.903090e+01    1.161686e+04
  2.905379e+01    1.154414e+04
  2.907667e+01    1.148091e+04
  2.909956e+01    1.140823e+04
  2.912244e+01    1.134721e+04
  2.914533e+01    1.128800e+04
  2.916821e+01    1.123375e+04
  2.919110e+01    1.118136e+04
  2.921398e+01    1.112873e+04
  2.923687e+01    1.109048e+04
  2.925976e+01    1.104255e+04
  2.928264e+01    1.100866e+04
  2.930553e+01    1.098968e+04
  2.932841e+01    1.096081e+04
  2.935130e+01    1.093268e+04
  2.937418e+01    1.093303e+04
  2.939707e+01    1.099398e+04
  2.941995e+01    1.108549e+04
  2.944284e+01    1.127667e+04
  2.946572e+01    1.160458e+04
  2.948861e+01    1.198494e+04
  2.951149e+01    1.228336e+04
  2.953438e+01    1.232495e+04
  2.955727e+01    1.203955e+04
  2.958015e+01    1.157831e+04
  2.960304e+01    1.114922e+04
  2.962592e+01    1.082954e+04
  2.964881e+01    1.061601e+04
  2.967169e+01    1.048091e+04
  2.969458e+01    1.039434e+04
  2.971746e+01    1.032935e+04
  2.974035e+01    1.027760e+04
  2.976323e+01    1.023257e+04
  2.978612e+01    1.020223e+04
  2.980900e+01    1.017318e+04
  2.983189e+01    1.014485e+04
  2.985478e+01    1.011162e+04
  2.987766e+01    1.007479e+04
  2.990055e+01    1.006067e+04
  2.992343e+01    1.005154e+04
  2.994632e+01    1.003024e+04
  2.996920e+01    1.001599e+04
  2.999209e+01    1.001264e+04
  3.001497e+01    1.001835e+04
