# == pyFAI calibration ==
# Distance Sample to Detector: 0.26161527513677846 m
# PONI: 2.023e-01, 2.348e-01 m
# Rotations: -0.026380 0.002005 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 261.707 mm
# Center: x=6119.331, y=5134.776 pix
# Tilt: 1.516 deg  TiltPlanRot: 4.347 deg
# 
# Detector Rayonix SX165	 PixelSize= 3.950e-05, 3.950e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.1271290727272727e-10 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ROCK\\WAM39B_integrated\wam39b_rt_1_xrd_000001_integrated.dat
#       2th_deg             I 
  2.502596e+01    6.123904e+03
  2.504885e+01    1.609651e+04
  2.507173e+01    2.166239e+04
  2.509462e+01    2.300563e+04
  2.511750e+01    2.517884e+04
  2.514039e+01    2.611271e+04
  2.516327e+01    2.602189e+04
  2.518616e+01    2.579996e+04
  2.520905e+01    2.565544e+04
  2.523193e+01    2.536418e+04
  2.525482e+01    2.548063e+04
  2.527770e+01    2.596194e+04
  2.530059e+01    2.586027e+04
  2.532347e+01    2.562341e+04
  2.534636e+01    2.542822e+04
  2.536924e+01    2.533271e+04
  2.539213e+01    2.533496e+04
  2.541501e+01    2.537288e+04
  2.543790e+01    2.543026e+04
  2.546078e+01    2.554515e+04
  2.548367e+01    2.556467e+04
  2.550656e+01    2.541597e+04
  2.552944e+01    2.537742e+04
  2.555233e+01    2.581821e+04
  2.557521e+01    2.613718e+04
  2.559810e+01    2.630190e+04
  2.562098e+01    2.660220e+04
  2.564387e+01    2.697353e+04
  2.566675e+01    2.735298e+04
  2.568964e+01    2.763102e+04
  2.571252e+01    2.791288e+04
  2.573541e+01    2.824470e+04
  2.575829e+01    2.844183e+04
  2.578118e+01    2.846504e+04
  2.580407e+01    2.848422e+04
  2.582695e+01    2.843510e+04
  2.584984e+01    2.825307e+04
  2.587272e+01    2.800036e+04
  2.589561e+01    2.779430e+04
  2.591849e+01    2.746985e+04
  2.594138e+01    2.719624e+04
  2.596426e+01    2.705512e+04
  2.598715e+01    2.683139e+04
  2.601003e+01    2.678142e+04
  2.603292e+01    2.670030e+04
  2.605580e+01    2.664955e+04
  2.607869e+01    2.669937e+04
  2.610157e+01    2.675775e+04
  2.612446e+01    2.684730e+04
  2.614735e+01    2.700662e+04
  2.617023e+01    2.717959e+04
  2.619312e+01    2.740196e+04
  2.621600e+01    2.771625e+04
  2.623889e+01    2.797715e+04
  2.626177e+01    2.833814e+04
  2.628466e+01    2.875893e+04
  2.630754e+01    2.927079e+04
  2.633043e+01    2.989648e+04
  2.635331e+01    3.076622e+04
  2.637620e+01    3.207117e+04
  2.639908e+01    3.389124e+04
  2.642197e+01    3.629204e+04
  2.644486e+01    3.896410e+04
  2.646774e+01    4.114668e+04
  2.649063e+01    4.167663e+04
  2.651351e+01    4.050943e+04
  2.653640e+01    3.799513e+04
  2.655928e+01    3.515929e+04
  2.658217e+01    3.279355e+04
  2.660505e+01    3.113763e+04
  2.662794e+01    3.008186e+04
  2.665082e+01    2.937581e+04
  2.667371e+01    2.893947e+04
  2.669659e+01    2.866874e+04
  2.671948e+01    2.850305e+04
  2.674237e+01    2.839614e+04
  2.676525e+01    2.830182e+04
  2.678814e+01    2.819817e+04
  2.681102e+01    2.811801e+04
  2.683391e+01    2.799496e+04
  2.685679e+01    2.788510e+04
  2.687968e+01    2.777655e+04
  2.690256e+01    2.753103e+04
  2.692545e+01    2.729064e+04
  2.694833e+01    2.700411e+04
  2.697122e+01    2.667877e+04
  2.699410e+01    2.633936e+04
  2.701699e+01    2.603619e+04
  2.703988e+01    2.564118e+04
  2.706276e+01    2.526301e+04
  2.708565e+01    2.491390e+04
  2.710853e+01    2.455286e+04
  2.713142e+01    2.421309e+04
  2.715430e+01    2.389556e+04
  2.717719e+01    2.360107e+04
  2.720007e+01    2.329355e+04
  2.722296e+01    2.301819e+04
  2.724584e+01    2.276661e+04
  2.726873e+01    2.258507e+04
  2.729161e+01    2.237568e+04
  2.731450e+01    2.219960e+04
  2.733738e+01    2.202943e+04
  2.736027e+01    2.188442e+04
  2.738316e+01    2.175120e+04
  2.740604e+01    2.161756e+04
  2.742893e+01    2.151817e+04
  2.745181e+01    2.145228e+04
  2.747470e+01    2.135959e+04
  2.749758e+01    2.128108e+04
  2.752047e+01    2.121403e+04
  2.754335e+01    2.116398e+04
  2.756624e+01    2.113784e+04
  2.758912e+01    2.108919e+04
  2.761201e+01    2.103299e+04
  2.763489e+01    2.099014e+04
  2.765778e+01    2.098690e+04
  2.768067e+01    2.098583e+04
  2.770355e+01    2.100158e+04
  2.772644e+01    2.099020e+04
  2.774932e+01    2.098949e+04
  2.777221e+01    2.102826e+04
  2.779509e+01    2.108528e+04
  2.781798e+01    2.119468e+04
  2.784086e+01    2.129963e+04
  2.786375e+01    2.144192e+04
  2.788663e+01    2.160480e+04
  2.790952e+01    2.179854e+04
  2.793240e+01    2.207285e+04
  2.795529e+01    2.240921e+04
  2.797818e+01    2.283580e+04
  2.800106e+01    2.339946e+04
  2.802395e+01    2.418713e+04
  2.804683e+01    2.526959e+04
  2.806972e+01    2.659517e+04
  2.809260e+01    2.792365e+04
  2.811549e+01    2.880656e+04
