# == pyFAI calibration ==
# Distance Sample to Detector: 0.26161527513677846 m
# PONI: 2.023e-01, 2.348e-01 m
# Rotations: -0.026380 0.002005 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 261.707 mm
# Center: x=6119.331, y=5134.776 pix
# Tilt: 1.516 deg  TiltPlanRot: 4.347 deg
# 
# Detector Rayonix SX165	 PixelSize= 3.950e-05, 3.950e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.1271290727272727e-10 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integration.dat
#       2th_deg             I 
  2.502596e+01    2.554276e+03
  2.504885e+01    6.728609e+03
  2.507173e+01    9.112252e+03
  2.509462e+01    9.752474e+03
  2.511750e+01    1.079300e+04
  2.514039e+01    1.137604e+04
  2.516327e+01    1.152353e+04
  2.518616e+01    1.157687e+04
  2.520905e+01    1.162769e+04
  2.523193e+01    1.154199e+04
  2.525482e+01    1.161368e+04
  2.527770e+01    1.190421e+04
  2.530059e+01    1.191019e+04
  2.532347e+01    1.185288e+04
  2.534636e+01    1.180983e+04
  2.536924e+01    1.179325e+04
  2.539213e+01    1.181790e+04
  2.541501e+01    1.184421e+04
  2.543790e+01    1.187037e+04
  2.546078e+01    1.190779e+04
  2.548367e+01    1.187365e+04
  2.550656e+01    1.175906e+04
  2.552944e+01    1.170014e+04
  2.555233e+01    1.183376e+04
  2.557521e+01    1.188590e+04
  2.559810e+01    1.187063e+04
  2.562098e+01    1.189810e+04
  2.564387e+01    1.193895e+04
  2.566675e+01    1.196601e+04
  2.568964e+01    1.193810e+04
  2.571252e+01    1.192380e+04
  2.573541e+01    1.194370e+04
  2.575829e+01    1.193364e+04
  2.578118e+01    1.188667e+04
  2.580407e+01    1.189117e+04
  2.582695e+01    1.190546e+04
  2.584984e+01    1.188120e+04
  2.587272e+01    1.185490e+04
  2.589561e+01    1.186781e+04
  2.591849e+01    1.183809e+04
  2.594138e+01    1.183116e+04
  2.596426e+01    1.184520e+04
  2.598715e+01    1.180058e+04
  2.601003e+01    1.181194e+04
  2.603292e+01    1.179305e+04
  2.605580e+01    1.177056e+04
  2.607869e+01    1.177508e+04
  2.610157e+01    1.176565e+04
  2.612446e+01    1.175211e+04
  2.614735e+01    1.173733e+04
  2.617023e+01    1.171586e+04
  2.619312e+01    1.170308e+04
  2.621600e+01    1.171373e+04
  2.623889e+01    1.168540e+04
  2.626177e+01    1.167584e+04
  2.628466e+01    1.167072e+04
  2.630754e+01    1.165962e+04
  2.633043e+01    1.163641e+04
  2.635331e+01    1.161814e+04
  2.637620e+01    1.158829e+04
  2.639908e+01    1.154041e+04
  2.642197e+01    1.148776e+04
  2.644486e+01    1.144254e+04
  2.646774e+01    1.140914e+04
  2.649063e+01    1.132371e+04
  2.651351e+01    1.126229e+04
  2.653640e+01    1.120433e+04
  2.655928e+01    1.114669e+04
  2.658217e+01    1.110258e+04
  2.660505e+01    1.106134e+04
  2.662794e+01    1.103446e+04
  2.665082e+01    1.099309e+04
  2.667371e+01    1.095291e+04
  2.669659e+01    1.092410e+04
  2.671948e+01    1.091130e+04
  2.674237e+01    1.089879e+04
  2.676525e+01    1.089712e+04
  2.678814e+01    1.091522e+04
  2.681102e+01    1.096636e+04
  2.683391e+01    1.098956e+04
  2.685679e+01    1.104052e+04
  2.687968e+01    1.116013e+04
  2.690256e+01    1.133218e+04
  2.692545e+01    1.163811e+04
  2.694833e+01    1.209488e+04
  2.697122e+01    1.286999e+04
  2.699410e+01    1.442703e+04
  2.701699e+01    1.723830e+04
  2.703988e+01    2.105974e+04
  2.706276e+01    2.602155e+04
  2.708565e+01    3.237637e+04
  2.710853e+01    3.914827e+04
  2.713142e+01    4.335291e+04
  2.715430e+01    4.500446e+04
  2.717719e+01    4.355762e+04
  2.720007e+01    3.849727e+04
  2.722296e+01    3.162931e+04
  2.724584e+01    2.472402e+04
  2.726873e+01    1.947850e+04
  2.729161e+01    1.540424e+04
  2.731450e+01    1.296485e+04
  2.733738e+01    1.156303e+04
  2.736027e+01    1.087971e+04
  2.738316e+01    1.045894e+04
  2.740604e+01    1.014436e+04
  2.742893e+01    9.915535e+03
  2.745181e+01    9.745890e+03
  2.747470e+01    9.592145e+03
  2.749758e+01    9.465053e+03
  2.752047e+01    9.349936e+03
  2.754335e+01    9.259465e+03
  2.756624e+01    9.191513e+03
  2.758912e+01    9.116961e+03
  2.761201e+01    9.041120e+03
  2.763489e+01    8.971505e+03
  2.765778e+01    8.916794e+03
  2.768067e+01    8.855205e+03
  2.770355e+01    8.789446e+03
  2.772644e+01    8.710332e+03
  2.774932e+01    8.635587e+03
  2.777221e+01    8.582574e+03
  2.779509e+01    8.534602e+03
  2.781798e+01    8.491776e+03
  2.784086e+01    8.438551e+03
  2.786375e+01    8.389223e+03
  2.788663e+01    8.347764e+03
  2.790952e+01    8.312717e+03
  2.793240e+01    8.285681e+03
  2.795529e+01    8.253566e+03
  2.797818e+01    8.218579e+03
  2.800106e+01    8.189062e+03
  2.802395e+01    8.166090e+03
  2.804683e+01    8.137279e+03
  2.806972e+01    8.105751e+03
  2.809260e+01    8.084593e+03
  2.811549e+01    8.061396e+03
  2.813837e+01    8.044464e+03
  2.816126e+01    8.031884e+03
  2.818414e+01    8.015398e+03
  2.820703e+01    7.996757e+03
  2.822991e+01    7.972885e+03
  2.825280e+01    7.949927e+03
  2.827568e+01    7.934988e+03
  2.829857e+01    7.924998e+03
  2.832146e+01    7.920790e+03
  2.834434e+01    7.907651e+03
  2.836723e+01    7.892465e+03
  2.839011e+01    7.877577e+03
  2.841300e+01    7.865330e+03
  2.843588e+01    7.862983e+03
  2.845877e+01    7.844167e+03
  2.848165e+01    7.823552e+03
  2.850454e+01    7.811710e+03
  2.852742e+01    7.807028e+03
  2.855031e+01    7.810105e+03
  2.857319e+01    7.804021e+03
  2.859608e+01    7.783849e+03
  2.861897e+01    7.765614e+03
  2.864185e+01    7.749316e+03
  2.866474e+01    7.730270e+03
  2.868762e+01    7.700534e+03
  2.871051e+01    7.683613e+03
  2.873339e+01    7.675536e+03
  2.875628e+01    7.660885e+03
  2.877916e+01    7.643593e+03
  2.880205e+01    7.629578e+03
  2.882493e+01    7.618532e+03
  2.884782e+01    7.613064e+03
  2.887070e+01    7.600464e+03
  2.889359e+01    7.588961e+03
  2.891648e+01    7.577800e+03
