    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  9.97519E-05  7.33163E-07  1.33380E-04  1.33380E-04  1.33411E-04  4.00170E-04  2.94120E-06  1.40904E-04  1.41009E-04  1.40837E-04  1.40837E-04  1.40904E-04  7.04491E-04  5.17792E-06  1.20441E-03  8.85228E-06
  -29.9000  1.00192E-04  1.46956E-06  1.33155E-04  1.33155E-04  1.33187E-04  3.99497E-04  5.87745E-06  1.41806E-04  1.41911E-04  1.41738E-04  1.41738E-04  1.41806E-04  7.08997E-04  1.03889E-05  1.20869E-03  1.77360E-05
  -29.8000  1.00637E-04  2.20923E-06  1.32937E-04  1.32937E-04  1.32969E-04  3.98843E-04  8.80889E-06  1.42716E-04  1.42823E-04  1.42647E-04  1.42647E-04  1.42716E-04  7.13550E-04  1.56334E-05  1.21303E-03  2.66516E-05
  -29.7000  1.01088E-04  2.95222E-06  1.32725E-04  1.32725E-04  1.32758E-04  3.98208E-04  1.17357E-05  1.43636E-04  1.43744E-04  1.43567E-04  1.43567E-04  1.43636E-04  7.18150E-04  2.09117E-05  1.21745E-03  3.55996E-05
  -29.6000  1.01545E-04  3.69856E-06  1.32520E-04  1.32520E-04  1.32553E-04  3.97593E-04  1.46579E-05  1.44566E-04  1.44674E-04  1.44496E-04  1.44496E-04  1.44566E-04  7.22798E-04  2.62242E-05  1.22194E-03  4.45807E-05
  -29.5000  1.02008E-04  4.44830E-06  1.32321E-04  1.32321E-04  1.32354E-04  3.96996E-04  1.75758E-05  1.45505E-04  1.45615E-04  1.45435E-04  1.45435E-04  1.45505E-04  7.27495E-04  3.15712E-05  1.22650E-03  5.35953E-05
  -29.4000  1.02476E-04  5.20149E-06  1.32129E-04  1.32129E-04  1.32161E-04  3.96418E-04  2.04894E-05  1.46455E-04  1.46565E-04  1.46384E-04  1.46384E-04  1.46455E-04  7.32242E-04  3.69531E-05  1.23114E-03  6.26440E-05
  -29.3000  1.02950E-04  5.95816E-06  1.31942E-04  1.31942E-04  1.31975E-04  3.95860E-04  2.33989E-05  1.47414E-04  1.47526E-04  1.47342E-04  1.47342E-04  1.47414E-04  7.37039E-04  4.23702E-05  1.23585E-03  7.17273E-05
  -29.2000  1.03430E-04  6.71836E-06  1.31762E-04  1.31762E-04  1.31796E-04  3.95320E-04  2.63045E-05  1.48384E-04  1.48496E-04  1.48311E-04  1.48311E-04  1.48384E-04  7.41886E-04  4.78230E-05  1.24064E-03  8.08458E-05
  -29.1000  1.03917E-04  7.48213E-06  1.31589E-04  1.31589E-04  1.31622E-04  3.94799E-04  2.92062E-05  1.49363E-04  1.49477E-04  1.49290E-04  1.49290E-04  1.49363E-04  7.46784E-04  5.33117E-05  1.24550E-03  9.00001E-05
