    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  9.95887E-05  7.31963E-07  1.22719E-04  1.22719E-04  1.25743E-04  3.71181E-04  2.72813E-06  1.43726E-04  1.39613E-04  1.50759E-04  1.50759E-04  1.43726E-04  7.28581E-04  5.35497E-06  1.19935E-03  8.81507E-06
  -29.9000  1.00316E-04  1.46927E-06  1.22623E-04  1.22623E-04  1.25706E-04  3.70951E-04  5.45457E-06  1.44743E-04  1.40558E-04  1.51901E-04  1.51901E-04  1.44743E-04  7.33845E-04  1.07486E-05  1.20511E-03  1.76725E-05
  -29.8000  1.01060E-04  2.21205E-06  1.22536E-04  1.22536E-04  1.25679E-04  3.70752E-04  8.17955E-06  1.45773E-04  1.41513E-04  1.53058E-04  1.53058E-04  1.45773E-04  7.39175E-04  1.61815E-05  1.21099E-03  2.65731E-05
  -29.7000  1.01821E-04  2.96043E-06  1.22459E-04  1.22459E-04  1.25664E-04  3.70582E-04  1.09033E-05  1.46815E-04  1.42478E-04  1.54232E-04  1.54232E-04  1.46815E-04  7.44571E-04  2.16540E-05  1.21697E-03  3.55177E-05
  -29.6000  1.02600E-04  3.71452E-06  1.22392E-04  1.22392E-04  1.25660E-04  3.70444E-04  1.36260E-05  1.47869E-04  1.43454E-04  1.55421E-04  1.55421E-04  1.47869E-04  7.50034E-04  2.71666E-05  1.22308E-03  4.45071E-05
  -29.5000  1.03396E-04  4.47447E-06  1.22334E-04  1.22334E-04  1.25667E-04  3.70336E-04  1.63479E-05  1.48937E-04  1.44441E-04  1.56627E-04  1.56627E-04  1.48937E-04  7.55567E-04  3.27199E-05  1.22930E-03  5.35423E-05
  -29.4000  1.04212E-04  5.24042E-06  1.22287E-04  1.22287E-04  1.25687E-04  3.70260E-04  1.90693E-05  1.50017E-04  1.45439E-04  1.57849E-04  1.57849E-04  1.50017E-04  7.61171E-04  3.83144E-05  1.23564E-03  6.26241E-05
  -29.3000  1.05046E-04  6.01249E-06  1.22249E-04  1.22249E-04  1.25718E-04  3.70217E-04  2.17903E-05  1.51111E-04  1.46448E-04  1.59089E-04  1.59089E-04  1.51111E-04  7.66848E-04  4.39507E-05  1.24211E-03  7.17535E-05
  -29.2000  1.05901E-04  6.79085E-06  1.22222E-04  1.22222E-04  1.25762E-04  3.70207E-04  2.45113E-05  1.52219E-04  1.47468E-04  1.60346E-04  1.60346E-04  1.52219E-04  7.72598E-04  4.96292E-05  1.24871E-03  8.09313E-05
  -29.1000  1.06777E-04  7.57565E-06  1.22206E-04  1.22206E-04  1.25819E-04  3.70230E-04  2.72324E-05  1.53340E-04  1.48500E-04  1.61621E-04  1.61621E-04  1.53340E-04  7.78423E-04  5.53505E-05  1.25543E-03  9.01585E-05
  -29.0000  1.07674E-04  8.36704E-06  1.22200E-04  1.22200E-04  1.25888E-04  3.70287E-04  2.99540E-05  1.54476E-04  1.49543E-04  1.62915E-04  1.62915E-04  1.54476E-04  7.84325E-04  6.11151E-05  1.26229E-03  9.94362E-05
  -28.9000  1.08594E-04  9.16519E-06  1.22205E-04  1.22205E-04  1.25971E-04  3.70381E-04  3.26762E-05  1.55626E-04  1.50598E-04  1.64228E-04  1.64228E-04  1.55626E-04  7.90306E-04  6.69238E-05  1.26928E-03  1.08765E-04
  -28.8000  1.09537E-04  9.97027E-06  1.22221E-04  1.22221E-04  1.26067E-04  3.70509E-04  3.53994E-05  1.56791E-04  1.51666E-04  1.65560E-04  1.65560E-04  1.56791E-04  7.96367E-04  7.27770E-05  1.27641E-03  1.18147E-04
  -28.7000  1.10503E-04  1.07825E-05  1.22249E-04  1.22249E-04  1.26177E-04  3.70674E-04  3.81238E-05  1.57971E-04  1.52745E-04  1.66912E-04  1.66912E-04  1.57971E-04  8.02510E-04  7.86753E-05  1.28369E-03  1.27582E-04
  -28.6000  1.11495E-04  1.16019E-05  1.22287E-04  1.22287E-04  1.26301E-04  3.70876E-04  4.08497E-05  1.59165E-04  1.53837E-04  1.68283E-04  1.68283E-04  1.59165E-04  8.08734E-04  8.46194E-05  1.29110E-03  1.37071E-04
