    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  6.70926E-05  4.93122E-07  7.46583E-05  7.46583E-05  7.46583E-05  2.23975E-04  1.64618E-06  1.46379E-04  1.46379E-04  1.50287E-04  1.50287E-04  1.50287E-04  7.43619E-04  5.46550E-06  1.03469E-03  7.60481E-06
  -29.9000  6.74456E-05  9.88838E-07  7.46563E-05  7.46563E-05  7.46563E-05  2.23969E-04  3.29232E-06  1.47428E-04  1.47428E-04  1.51403E-04  1.51403E-04  1.51403E-04  7.49064E-04  1.09710E-05  1.04048E-03  1.52522E-05
  -29.8000  6.78041E-05  1.48719E-06  7.46575E-05  7.46575E-05  7.46575E-05  2.23973E-04  4.93849E-06  1.48489E-04  1.48489E-04  1.52532E-04  1.52532E-04  1.52532E-04  7.54573E-04  1.65170E-05  1.04635E-03  2.29427E-05
  -29.7000  6.81682E-05  1.98822E-06  7.46620E-05  7.46620E-05  7.46620E-05  2.23986E-04  6.58476E-06  1.49561E-04  1.49561E-04  1.53675E-04  1.53675E-04  1.53675E-04  7.60148E-04  2.21040E-05  1.05230E-03  3.06770E-05
  -29.6000  6.85382E-05  2.49196E-06  7.46699E-05  7.46699E-05  7.46699E-05  2.24010E-04  8.23120E-06  1.50647E-04  1.50647E-04  1.54832E-04  1.54832E-04  1.54832E-04  7.65789E-04  2.77325E-05  1.05834E-03  3.84556E-05
  -29.5000  6.89141E-05  2.99847E-06  7.46810E-05  7.46810E-05  7.46810E-05  2.24043E-04  9.87789E-06  1.51744E-04  1.51744E-04  1.56003E-04  1.56003E-04  1.56003E-04  7.71498E-04  3.34029E-05  1.06446E-03  4.62792E-05
  -29.4000  6.92961E-05  3.50779E-06  7.46956E-05  7.46956E-05  7.46956E-05  2.24087E-04  1.15249E-05  1.52854E-04  1.52854E-04  1.57189E-04  1.57189E-04  1.57189E-04  7.77276E-04  3.91157E-05  1.07066E-03  5.41484E-05
  -29.3000  6.96844E-05  4.01996E-06  7.47136E-05  7.47136E-05  7.47136E-05  2.24141E-04  1.31723E-05  1.53978E-04  1.53978E-04  1.58390E-04  1.58390E-04  1.58390E-04  7.83124E-04  4.48716E-05  1.07695E-03  6.20639E-05
  -29.2000  7.00790E-05  4.53503E-06  7.47351E-05  7.47351E-05  7.47351E-05  2.24205E-04  1.48202E-05  1.55114E-04  1.55114E-04  1.59605E-04  1.59605E-04  1.59605E-04  7.89042E-04  5.06709E-05  1.08333E-03  7.00262E-05
  -29.1000  7.04801E-05  5.05305E-06  7.47601E-05  7.47601E-05  7.47601E-05  2.24280E-04  1.64686E-05  1.56263E-04  1.56263E-04  1.60836E-04  1.60836E-04  1.60836E-04  7.95033E-04  5.65143E-05  1.08979E-03  7.80360E-05
  -29.0000  7.08880E-05  5.57407E-06  7.47887E-05  7.47887E-05  7.47887E-05  2.24366E-04  1.81177E-05  1.57426E-04  1.57426E-04  1.62082E-04  1.62082E-04  1.62082E-04  8.01098E-04  6.24023E-05  1.09635E-03  8.60940E-05
  -28.9000  7.13027E-05  6.09813E-06  7.48209E-05  7.48209E-05  7.48209E-05  2.24463E-04  1.97674E-05  1.58603E-04  1.58603E-04  1.63344E-04  1.63344E-04  1.63344E-04  8.07237E-04  6.83354E-05  1.10300E-03  9.42009E-05
  -28.8000  7.17246E-05  6.62530E-06  7.48569E-05  7.48569E-05  7.48569E-05  2.24571E-04  2.14180E-05  1.59793E-04  1.59793E-04  1.64622E-04  1.64622E-04  1.64622E-04  8.13453E-04  7.43141E-05  1.10975E-03  1.02357E-04
  -28.7000  7.21537E-05  7.15562E-06  7.48966E-05  7.48966E-05  7.48966E-05  2.24690E-04  2.30694E-05  1.60998E-04  1.60998E-04  1.65916E-04  1.65916E-04  1.65916E-04  8.19746E-04  8.03392E-05  1.11659E-03  1.10564E-04
  -28.6000  7.25904E-05  7.68915E-06  7.49401E-05  7.49401E-05  7.49401E-05  2.24820E-04  2.47218E-05  1.62217E-04  1.62217E-04  1.67228E-04  1.67228E-04  1.67228E-04  8.26118E-04  8.64110E-05  1.12353E-03  1.18822E-04
  -28.5000  7.30347E-05  8.22594E-06  7.49876E-05  7.49876E-05  7.49876E-05  2.24963E-04  2.63753E-05  1.63451E-04  1.63451E-04  1.68556E-04  1.68556E-04  1.68556E-04  8.32571E-04  9.25303E-05  1.13057E-03  1.27132E-04
  -28.4000  7.34869E-05  8.76606E-06  7.50389E-05  7.50389E-05  7.50389E-05  2.25117E-04  2.80299E-05  1.64700E-04  1.64700E-04  1.69902E-04  1.69902E-04  1.69902E-04  8.39106E-04  9.86976E-05  1.13771E-03  1.35494E-04
  -28.3000  7.39471E-05  9.30956E-06  7.50943E-05  7.50943E-05  7.50943E-05  2.25283E-04  2.96857E-05  1.65964E-04  1.65964E-04  1.71265E-04  1.71265E-04  1.71265E-04  8.45724E-04  1.04914E-04  1.14495E-03  1.43909E-04
  -28.2000  7.44155E-05  9.85651E-06  7.51538E-05  7.51538E-05  7.51538E-05  2.25461E-04  3.13428E-05  1.67243E-04  1.67243E-04  1.72647E-04  1.72647E-04  1.72647E-04  8.52427E-04  1.11179E-04  1.15230E-03  1.52378E-04
  -28.1000  7.48924E-05  1.04070E-05  7.52173E-05  7.52173E-05  7.52173E-05  2.25652E-04  3.30013E-05  1.68538E-04  1.68538E-04  1.74046E-04  1.74046E-04  1.74046E-04  8.59215E-04  1.17494E-04  1.15976E-03  1.60902E-04
  -28.0000  7.53781E-05  1.09610E-05  7.52852E-05  7.52852E-05  7.52852E-05  2.25855E-04  3.46613E-05  1.69849E-04  1.69849E-04  1.75465E-04  1.75465E-04  1.75465E-04  8.66091E-04  1.23860E-04  1.16733E-03  1.69482E-04
  -27.9000  7.58727E-05  1.15186E-05  7.53573E-05  7.53573E-05  7.53573E-05  2.26072E-04  3.63229E-05  1.71175E-04  1.71175E-04  1.76902E-04  1.76902E-04  1.76902E-04  8.73058E-04  1.30276E-04  1.17500E-03  1.78118E-04
  -27.8000  7.63766E-05  1.20800E-05  7.54338E-05  7.54338E-05  7.54338E-05  2.26301E-04  3.79862E-05  1.72519E-04  1.72519E-04  1.78359E-04  1.78359E-04  1.78359E-04  8.80115E-04  1.36745E-04  1.18279E-03  1.86811E-04
