    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  7.30223E-05  5.36704E-07  1.06732E-04  1.06732E-04  1.06732E-04  3.20195E-04  2.35339E-06  1.35614E-04  1.35614E-04  1.40608E-04  1.40608E-04  1.40608E-04  6.93052E-04  5.09384E-06  1.08627E-03  7.98394E-06
  -29.9000  7.33708E-05  1.07597E-06  1.06513E-04  1.06513E-04  1.06513E-04  3.19538E-04  4.70195E-06  1.36543E-04  1.36543E-04  1.41624E-04  1.41624E-04  1.41624E-04  6.97959E-04  1.02237E-05  1.09087E-03  1.60017E-05
  -29.8000  7.37257E-05  1.61784E-06  1.06300E-04  1.06300E-04  1.06300E-04  3.18899E-04  7.04581E-06  1.37482E-04  1.37482E-04  1.42653E-04  1.42653E-04  1.42653E-04  7.02923E-04  1.53901E-05  1.09555E-03  2.40538E-05
  -29.7000  7.40873E-05  2.16237E-06  1.06092E-04  1.06092E-04  1.06092E-04  3.18277E-04  9.38511E-06  1.38431E-04  1.38431E-04  1.43695E-04  1.43695E-04  1.43695E-04  7.07945E-04  2.05934E-05  1.10031E-03  3.21409E-05
  -29.6000  7.44556E-05  2.70961E-06  1.05891E-04  1.05891E-04  1.05891E-04  3.17674E-04  1.17200E-05  1.39390E-04  1.39390E-04  1.44749E-04  1.44749E-04  1.44749E-04  7.13026E-04  2.58341E-05  1.10516E-03  4.02637E-05
  -29.5000  7.48309E-05  3.25961E-06  1.05696E-04  1.05696E-04  1.05696E-04  3.17089E-04  1.40505E-05  1.40360E-04  1.40360E-04  1.45815E-04  1.45815E-04  1.45815E-04  7.18167E-04  3.11125E-05  1.11009E-03  4.84227E-05
  -29.4000  7.52133E-05  3.81242E-06  1.05507E-04  1.05507E-04  1.05507E-04  3.16522E-04  1.63769E-05  1.41341E-04  1.41341E-04  1.46896E-04  1.46896E-04  1.46896E-04  7.23369E-04  3.64292E-05  1.11510E-03  5.66185E-05
  -29.3000  7.56031E-05  4.36809E-06  1.05325E-04  1.05325E-04  1.05325E-04  3.15974E-04  1.86993E-05  1.42333E-04  1.42333E-04  1.47989E-04  1.47989E-04  1.47989E-04  7.28632E-04  4.17845E-05  1.12021E-03  6.48519E-05
  -29.2000  7.60003E-05  4.92668E-06  1.05148E-04  1.05148E-04  1.05148E-04  3.15444E-04  2.10178E-05  1.43335E-04  1.43335E-04  1.49096E-04  1.49096E-04  1.49096E-04  7.33959E-04  4.71790E-05  1.12540E-03  7.31235E-05
  -29.1000  7.64055E-05  5.48825E-06  1.04978E-04  1.04978E-04  1.04978E-04  3.14934E-04  2.33325E-05  1.44349E-04  1.44349E-04  1.50217E-04  1.50217E-04  1.50217E-04  7.39350E-04  5.26131E-05  1.13069E-03  8.14339E-05
  -29.0000  7.68185E-05  6.05286E-06  1.04814E-04  1.04814E-04  1.04814E-04  3.14442E-04  2.56436E-05  1.45375E-04  1.45375E-04  1.51353E-04  1.51353E-04  1.51353E-04  7.44807E-04  5.80874E-05  1.13607E-03  8.97838E-05
  -28.9000  7.72396E-05  6.62056E-06  1.04656E-04  1.04656E-04  1.04656E-04  3.13968E-04  2.79512E-05  1.46412E-04  1.46412E-04  1.52502E-04  1.52502E-04  1.52502E-04  7.50330E-04  6.36022E-05  1.14154E-03  9.81740E-05
  -28.8000  7.76692E-05  7.19142E-06  1.04505E-04  1.04505E-04  1.04505E-04  3.13514E-04  3.02555E-05  1.47460E-04  1.47460E-04  1.53667E-04  1.53667E-04  1.53667E-04  7.55921E-04  6.91581E-05  1.14710E-03  1.06605E-04
  -28.7000  7.81072E-05  7.76549E-06  1.04360E-04  1.04360E-04  1.04360E-04  3.13080E-04  3.25566E-05  1.48521E-04  1.48521E-04  1.54846E-04  1.54846E-04  1.54846E-04  7.61581E-04  7.47556E-05  1.15277E-03  1.15078E-04
  -28.6000  7.85542E-05  8.34286E-06  1.04221E-04  1.04221E-04  1.04221E-04  3.12664E-04  3.48546E-05  1.49594E-04  1.49594E-04  1.56041E-04  1.56041E-04  1.56041E-04  7.67312E-04  8.03953E-05  1.15853E-03  1.23593E-04
  -28.5000  7.90102E-05  8.92357E-06  1.04090E-04  1.04090E-04  1.04090E-04  3.12269E-04  3.71498E-05  1.50679E-04  1.50679E-04  1.57252E-04  1.57252E-04  1.57252E-04  7.73114E-04  8.60776E-05  1.16439E-03  1.32151E-04
  -28.4000  7.94755E-05  9.50771E-06  1.03964E-04  1.03964E-04  1.03964E-04  3.11893E-04  3.94421E-05  1.51777E-04  1.51777E-04  1.58478E-04  1.58478E-04  1.58478E-04  7.78989E-04  9.18030E-05  1.17036E-03  1.40753E-04
  -28.3000  7.99505E-05  1.00953E-05  1.03846E-04  1.03846E-04  1.03846E-04  3.11537E-04  4.17319E-05  1.52888E-04  1.52888E-04  1.59721E-04  1.59721E-04  1.59721E-04  7.84938E-04  9.75722E-05  1.17643E-03  1.49399E-04
  -28.2000  8.04353E-05  1.06865E-05  1.03734E-04  1.03734E-04  1.03734E-04  3.11201E-04  4.40192E-05  1.54011E-04  1.54011E-04  1.60980E-04  1.60980E-04  1.60980E-04  7.90963E-04  1.03386E-04  1.18260E-03  1.58091E-04
  -28.1000  8.09304E-05  1.12813E-05  1.03629E-04  1.03629E-04  1.03629E-04  3.10886E-04  4.63042E-05  1.55148E-04  1.55148E-04  1.62256E-04  1.62256E-04  1.62256E-04  7.97065E-04  1.09244E-04  1.18888E-03  1.66829E-04
  -28.0000  8.14360E-05  1.18799E-05  1.03531E-04  1.03531E-04  1.03531E-04  3.10592E-04  4.85870E-05  1.56298E-04  1.56298E-04  1.63550E-04  1.63550E-04  1.63550E-04  8.03245E-04  1.15148E-04  1.19527E-03  1.75615E-04
  -27.9000  8.19524E-05  1.24822E-05  1.03440E-04  1.03440E-04  1.03440E-04  3.10319E-04  5.08678E-05  1.57462E-04  1.57462E-04  1.64860E-04  1.64860E-04  1.64860E-04  8.09504E-04  1.21097E-04  1.20178E-03  1.84447E-04
  -27.8000  8.24798E-05  1.30884E-05  1.03356E-04  1.03356E-04  1.03356E-04  3.10067E-04  5.31467E-05  1.58639E-04  1.58639E-04  1.66189E-04  1.66189E-04  1.66189E-04  8.15844E-04  1.27094E-04  1.20839E-03  1.93329E-04
  -27.7000  8.30190E-05  1.36986E-05  1.03279E-04  1.03279E-04  1.03279E-04  3.09838E-04  5.54240E-05  1.59830E-04  1.59830E-04  1.67536E-04  1.67536E-04  1.67536E-04  8.22267E-04  1.33137E-04  1.21512E-03  2.02260E-04
  -27.6000  8.35702E-05  1.43129E-05  1.03210E-04  1.03210E-04  1.03210E-04  3.09630E-04  5.76997E-05  1.61035E-04  1.61035E-04  1.68902E-04  1.68902E-04  1.68902E-04  8.28775E-04  1.39229E-04  1.22198E-03  2.11241E-04
  -27.5000  8.41335E-05  1.49312E-05  1.03148E-04  1.03148E-04  1.03148E-04  3.09445E-04  5.99741E-05  1.62255E-04  1.62255E-04  1.70286E-04  1.70286E-04  1.70286E-04  8.35369E-04  1.45369E-04  1.22895E-03  2.20274E-04
  -27.4000  8.47095E-05  1.55538E-05  1.03094E-04  1.03094E-04  1.03094E-04  3.09282E-04  6.22473E-05  1.63489E-04  1.63489E-04  1.71691E-04  1.71691E-04  1.71691E-04  8.42051E-04  1.51558E-04  1.23604E-03  2.29359E-04
  -27.3000  8.52986E-05  1.61808E-05  1.03048E-04  1.03048E-04  1.03048E-04  3.09143E-04  6.45194E-05  1.64739E-04  1.64739E-04  1.73115E-04  1.73115E-04  1.73115E-04  8.48823E-04  1.57796E-04  1.24326E-03  2.38497E-04
  -27.2000  8.59012E-05  1.68121E-05  1.03009E-04  1.03009E-04  1.03009E-04  3.09027E-04  6.67907E-05  1.66003E-04  1.66003E-04  1.74560E-04  1.74560E-04  1.74560E-04  8.55687E-04  1.64085E-04  1.25061E-03  2.47688E-04
  -27.1000  8.65177E-05  1.74480E-05  1.02978E-04  1.02978E-04  1.02978E-04  3.08935E-04  6.90614E-05  1.67284E-04  1.67284E-04  1.76026E-04  1.76026E-04  1.76026E-04  8.62644E-04  1.70426E-04  1.25810E-03  2.56935E-04
  -27.0000  8.71486E-05  1.80885E-05  1.02956E-04  1.02956E-04  1.02956E-04  3.08867E-04  7.13315E-05  1.68579E-04  1.68579E-04  1.77513E-04  1.77513E-04  1.77513E-04  8.69696E-04  1.76818E-04  1.26571E-03  2.66238E-04
  -26.9000  8.77945E-05  1.87338E-05  1.02941E-04  1.02941E-04  1.02941E-04  3.08824E-04  7.36013E-05  1.69891E-04  1.69891E-04  1.79021E-04  1.79021E-04  1.79021E-04  8.76846E-04  1.83263E-04  1.27346E-03  2.75598E-04
  -26.8000  8.84559E-05  1.93840E-05  1.02936E-04  1.02936E-04  1.02936E-04  3.08807E-04  7.58710E-05  1.71219E-04  1.71219E-04  1.80552E-04  1.80552E-04  1.80552E-04  8.84096E-04  1.89761E-04  1.28136E-03  2.85016E-04
  -26.7000  8.91333E-05  2.00391E-05  1.02938E-04  1.02938E-04  1.02938E-04  3.08815E-04  7.81407E-05  1.72564E-04  1.72564E-04  1.82106E-04  1.82106E-04  1.82106E-04  8.91447E-04  1.96313E-04  1.28939E-03  2.94492E-04
  -26.6000  8.98273E-05  2.06993E-05  1.02950E-04  1.02950E-04  1.02950E-04  3.08850E-04  8.04108E-05  1.73925E-04  1.73925E-04  1.83684E-04  1.83684E-04  1.83684E-04  8.98901E-04  2.02919E-04  1.29758E-03  3.04030E-04
  -26.5000  9.05386E-05  2.13647E-05  1.02971E-04  1.02971E-04  1.02971E-04  3.08913E-04  8.26812E-05  1.75304E-04  1.75304E-04  1.85285E-04  1.85285E-04  1.85285E-04  9.06462E-04  2.09582E-04  1.30591E-03  3.13628E-04
  -26.4000  9.12677E-05  2.20355E-05  1.03001E-04  1.03001E-04  1.03001E-04  3.09003E-04  8.49523E-05  1.76699E-04  1.76699E-04  1.86911E-04  1.86911E-04  1.86911E-04  9.14130E-04  2.16301E-04  1.31440E-03  3.23288E-04
  -26.3000  9.20155E-05  2.27118E-05  1.03041E-04  1.03041E-04  1.03041E-04  3.09122E-04  8.72244E-05  1.78112E-04  1.78112E-04  1.88561E-04  1.88561E-04  1.88561E-04  9.21906E-04  2.23076E-04  1.32304E-03  3.33013E-04
  -26.2000  9.27824E-05  2.33938E-05  1.03090E-04  1.03090E-04  1.03090E-04  3.09270E-04  8.94974E-05  1.79543E-04  1.79543E-04  1.90237E-04  1.90237E-04  1.90237E-04  9.29796E-04  2.29910E-04  1.33185E-03  3.42802E-04
