    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  8.90788E-05  6.54717E-07  9.74080E-05  9.74080E-05  1.00043E-04  2.94859E-04  2.16717E-06  1.48523E-04  1.45586E-04  1.53928E-04  1.53928E-04  1.48523E-04  7.50489E-04  5.51599E-06  1.13443E-03  8.33788E-06
  -29.9000  8.97367E-05  1.31427E-06  9.74313E-05  9.74313E-05  1.00119E-04  2.94981E-04  4.33525E-06  1.49602E-04  1.46609E-04  1.55108E-04  1.55108E-04  1.49602E-04  7.56028E-04  1.10727E-05  1.14075E-03  1.67222E-05
  -29.8000  9.04087E-05  1.97876E-06  9.74613E-05  9.74613E-05  1.00203E-04  2.95125E-04  6.50438E-06  1.50693E-04  1.47644E-04  1.56303E-04  1.56303E-04  1.50693E-04  7.61636E-04  1.66706E-05  1.14717E-03  2.51538E-05
  -29.7000  9.10955E-05  2.64830E-06  9.74981E-05  9.74981E-05  1.00295E-04  2.95291E-04  8.67473E-06  1.51797E-04  1.48691E-04  1.57514E-04  1.57514E-04  1.51797E-04  7.67314E-04  2.23103E-05  1.15370E-03  3.36333E-05
  -29.6000  9.17973E-05  3.32300E-06  9.75417E-05  9.75417E-05  1.00396E-04  2.95479E-04  1.08465E-05  1.52915E-04  1.49749E-04  1.58742E-04  1.58742E-04  1.52915E-04  7.73063E-04  2.79922E-05  1.16034E-03  4.21616E-05
  -29.5000  9.25147E-05  4.00297E-06  9.75925E-05  9.75925E-05  1.00505E-04  2.95690E-04  1.30197E-05  1.54047E-04  1.50820E-04  1.59986E-04  1.59986E-04  1.54047E-04  7.78885E-04  3.37169E-05  1.16709E-03  5.07396E-05
  -29.4000  9.32484E-05  4.68833E-06  9.76504E-05  9.76504E-05  1.00624E-04  2.95924E-04  1.51947E-05  1.55192E-04  1.51903E-04  1.61248E-04  1.61248E-04  1.55192E-04  7.84782E-04  3.94849E-05  1.17395E-03  5.93680E-05
  -29.3000  9.39988E-05  5.37921E-06  9.77156E-05  9.77156E-05  1.00751E-04  2.96182E-04  1.73716E-05  1.56352E-04  1.52998E-04  1.62526E-04  1.62526E-04  1.56352E-04  7.90754E-04  4.52969E-05  1.18094E-03  6.80477E-05
  -29.2000  9.47665E-05  6.07573E-06  9.77884E-05  9.77884E-05  1.00888E-04  2.96465E-04  1.95506E-05  1.57526E-04  1.54106E-04  1.63823E-04  1.63823E-04  1.57526E-04  7.96803E-04  5.11532E-05  1.18803E-03  7.67796E-05
  -29.1000  9.55522E-05  6.77803E-06  9.78688E-05  9.78688E-05  1.01034E-04  2.96772E-04  2.17319E-05  1.58715E-04  1.55228E-04  1.65137E-04  1.65137E-04  1.58715E-04  8.02931E-04  5.70547E-05  1.19526E-03  8.55646E-05
  -29.0000  9.63562E-05  7.48623E-06  9.79569E-05  9.79569E-05  1.01191E-04  2.97104E-04  2.39155E-05  1.59919E-04  1.56362E-04  1.66470E-04  1.66470E-04  1.59919E-04  8.09139E-04  6.30017E-05  1.20260E-03  9.44035E-05
  -28.9000  9.71799E-05  8.20049E-06  9.80533E-05  9.80533E-05  1.01357E-04  2.97464E-04  2.61018E-05  1.61138E-04  1.57509E-04  1.67822E-04  1.67822E-04  1.61138E-04  8.15429E-04  6.89950E-05  1.21007E-03  1.03297E-04
  -28.8000  9.80235E-05  8.92095E-06  9.81578E-05  9.81578E-05  1.01534E-04  2.97849E-04  2.82910E-05  1.62373E-04  1.58670E-04  1.69194E-04  1.69194E-04  1.62373E-04  8.21802E-04  7.50352E-05  1.21768E-03  1.12247E-04
  -28.7000  9.88876E-05  9.64776E-06  9.82706E-05  9.82706E-05  1.01721E-04  2.98262E-04  3.04832E-05  1.63623E-04  1.59845E-04  1.70585E-04  1.70585E-04  1.63623E-04  8.28261E-04  8.11228E-05  1.22541E-03  1.21254E-04
  -28.6000  9.97730E-05  1.03811E-05  9.83919E-05  9.83919E-05  1.01919E-04  2.98703E-04  3.26786E-05  1.64890E-04  1.61033E-04  1.71997E-04  1.71997E-04  1.64890E-04  8.34807E-04  8.72585E-05  1.23328E-03  1.30318E-04
  -28.5000  1.00681E-04  1.11211E-05  9.85220E-05  9.85220E-05  1.02128E-04  2.99173E-04  3.48775E-05  1.66173E-04  1.62236E-04  1.73429E-04  1.73429E-04  1.66173E-04  8.41440E-04  9.34430E-05  1.24129E-03  1.39442E-04
  -28.4000  1.01611E-04  1.18679E-05  9.86611E-05  9.86611E-05  1.02349E-04  2.99672E-04  3.70800E-05  1.67473E-04  1.63454E-04  1.74882E-04  1.74882E-04  1.67473E-04  8.48164E-04  9.96769E-05  1.24945E-03  1.48625E-04
