    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  9.50688E-05  6.98743E-07  1.19205E-04  1.19205E-04  1.23590E-04  3.62000E-04  2.66065E-06  1.41663E-04  1.38811E-04  1.48664E-04  1.48664E-04  1.41663E-04  7.19467E-04  5.28799E-06  1.17654E-03  8.64738E-06
  -29.9000  9.57658E-05  1.40261E-06  1.19086E-04  1.19086E-04  1.23561E-04  3.61733E-04  5.31934E-06  1.42664E-04  1.39759E-04  1.49797E-04  1.49797E-04  1.42664E-04  7.24683E-04  1.06143E-05  1.18218E-03  1.73363E-05
  -29.8000  9.64788E-05  2.11171E-06  1.18976E-04  1.18976E-04  1.23543E-04  3.61494E-04  7.97627E-06  1.43677E-04  1.40718E-04  1.50946E-04  1.50946E-04  1.43677E-04  7.29963E-04  1.59794E-05  1.18794E-03  2.60674E-05
  -29.7000  9.72085E-05  2.82618E-06  1.18875E-04  1.18875E-04  1.23536E-04  3.61285E-04  1.06317E-05  1.44702E-04  1.41687E-04  1.52110E-04  1.52110E-04  1.44702E-04  7.35310E-04  2.13839E-05  1.19380E-03  3.48417E-05
  -29.6000  9.79556E-05  3.54614E-06  1.18783E-04  1.18783E-04  1.23542E-04  3.61107E-04  1.32858E-05  1.45739E-04  1.42667E-04  1.53290E-04  1.53290E-04  1.45739E-04  7.40724E-04  2.68281E-05  1.19979E-03  4.36600E-05
  -29.5000  9.87206E-05  4.27173E-06  1.18700E-04  1.18700E-04  1.23560E-04  3.60959E-04  1.59388E-05  1.46788E-04  1.43657E-04  1.54487E-04  1.54487E-04  1.46788E-04  7.46207E-04  3.23126E-05  1.20589E-03  5.25231E-05
  -29.4000  9.95042E-05  5.00307E-06  1.18626E-04  1.18626E-04  1.23590E-04  3.60843E-04  1.85909E-05  1.47851E-04  1.44659E-04  1.55700E-04  1.55700E-04  1.47851E-04  7.51761E-04  3.78379E-05  1.21211E-03  6.14319E-05
  -29.3000  1.00307E-04  5.74031E-06  1.18563E-04  1.18563E-04  1.23633E-04  3.60759E-04  2.12424E-05  1.48926E-04  1.45673E-04  1.56931E-04  1.56931E-04  1.48926E-04  7.57387E-04  4.34046E-05  1.21845E-03  7.03874E-05
  -29.2000  1.01130E-04  6.48360E-06  1.18509E-04  1.18509E-04  1.23689E-04  3.60707E-04  2.38936E-05  1.50015E-04  1.46698E-04  1.58179E-04  1.58179E-04  1.50015E-04  7.63086E-04  4.90132E-05  1.22492E-03  7.93904E-05
  -29.1000  1.01974E-04  7.23309E-06  1.18465E-04  1.18465E-04  1.23759E-04  3.60689E-04  2.65446E-05  1.51117E-04  1.47735E-04  1.59446E-04  1.59446E-04  1.51117E-04  7.68861E-04  5.46642E-05  1.23152E-03  8.84419E-05
  -29.0000  1.02839E-04  7.98895E-06  1.18431E-04  1.18431E-04  1.23842E-04  3.60704E-04  2.91957E-05  1.52234E-04  1.48783E-04  1.60731E-04  1.60731E-04  1.52234E-04  7.74712E-04  6.03583E-05  1.23826E-03  9.75429E-05
  -28.9000  1.03726E-04  8.75132E-06  1.18407E-04  1.18407E-04  1.23939E-04  3.60754E-04  3.18472E-05  1.53364E-04  1.49844E-04  1.62035E-04  1.62035E-04  1.53364E-04  7.80641E-04  6.60959E-05  1.24512E-03  1.06694E-04
  -28.8000  1.04636E-04  9.52038E-06  1.18394E-04  1.18394E-04  1.24051E-04  3.60839E-04  3.44993E-05  1.54508E-04  1.50918E-04  1.63358E-04  1.63358E-04  1.54508E-04  7.86650E-04  7.18777E-05  1.25212E-03  1.15897E-04
  -28.7000  1.05570E-04  1.02963E-05  1.18391E-04  1.18391E-04  1.24176E-04  3.60959E-04  3.71523E-05  1.55667E-04  1.52003E-04  1.64701E-04  1.64701E-04  1.55667E-04  7.92739E-04  7.77042E-05  1.25927E-03  1.25153E-04
  -28.6000  1.06528E-04  1.10793E-05  1.18400E-04  1.18400E-04  1.24317E-04  3.61117E-04  3.98065E-05  1.56841E-04  1.53101E-04  1.66064E-04  1.66064E-04  1.56841E-04  7.98911E-04  8.35761E-05  1.26656E-03  1.34462E-04
  -28.5000  1.07513E-04  1.18695E-05  1.18419E-04  1.18419E-04  1.24474E-04  3.61311E-04  4.24621E-05  1.58030E-04  1.54213E-04  1.67448E-04  1.67448E-04  1.58030E-04  8.05168E-04  8.94939E-05  1.27399E-03  1.43825E-04
