    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  8.66357E-05  6.36760E-07  6.86465E-05  6.86465E-05  6.86465E-05  2.05940E-04  1.51363E-06  3.51947E-04  3.51947E-04  3.57377E-04  3.57377E-04  3.57377E-04  1.77602E-03  1.30535E-05  2.06860E-03  1.52039E-05
  -29.9000  8.71850E-05  1.27756E-06  6.88180E-05  6.88180E-05  6.88180E-05  2.06454E-04  3.03104E-06  3.56043E-04  3.56043E-04  3.61585E-04  3.61585E-04  3.61585E-04  1.79684E-03  2.62601E-05  2.09048E-03  3.05687E-05
  -29.8000  8.77425E-05  1.92245E-06  6.89928E-05  6.89928E-05  6.89928E-05  2.06978E-04  4.55230E-06  3.60215E-04  3.60215E-04  3.65872E-04  3.65872E-04  3.65872E-04  1.81805E-03  3.96225E-05  2.11277E-03  4.60972E-05
  -29.7000  8.83082E-05  2.57151E-06  6.91708E-05  6.91708E-05  6.91708E-05  2.07512E-04  6.07749E-06  3.64463E-04  3.64463E-04  3.70239E-04  3.70239E-04  3.70239E-04  1.83965E-03  5.31436E-05  2.13547E-03  6.17926E-05
  -29.6000  8.88821E-05  3.22478E-06  6.93522E-05  6.93522E-05  6.93522E-05  2.08056E-04  7.60667E-06  3.68791E-04  3.68791E-04  3.74688E-04  3.74688E-04  3.74688E-04  1.86165E-03  6.68265E-05  2.15858E-03  7.76579E-05
  -29.5000  8.94643E-05  3.88233E-06  6.95369E-05  6.95369E-05  6.95369E-05  2.08611E-04  9.13993E-06  3.73198E-04  3.73198E-04  3.79221E-04  3.79221E-04  3.79221E-04  1.88406E-03  8.06741E-05  2.18213E-03  9.36963E-05
  -29.4000  9.00552E-05  4.54422E-06  6.97250E-05  6.97250E-05  6.97250E-05  2.09175E-04  1.06773E-05  3.77687E-04  3.77687E-04  3.83840E-04  3.83840E-04  3.83840E-04  1.90690E-03  9.46895E-05  2.20613E-03  1.09911E-04
  -29.3000  9.06548E-05  5.21052E-06  6.99167E-05  6.99167E-05  6.99167E-05  2.09750E-04  1.22190E-05  3.82262E-04  3.82262E-04  3.88547E-04  3.88547E-04  3.88547E-04  1.93017E-03  1.08876E-04  2.23057E-03  1.26305E-04
  -29.2000  9.12635E-05  5.88130E-06  7.01119E-05  7.01119E-05  7.01119E-05  2.10336E-04  1.37649E-05  3.86922E-04  3.86922E-04  3.93345E-04  3.93345E-04  3.93345E-04  1.95388E-03  1.23237E-04  2.25548E-03  1.42883E-04
  -29.1000  9.18813E-05  6.55661E-06  7.03107E-05  7.03107E-05  7.03107E-05  2.10932E-04  1.53152E-05  3.91672E-04  3.91672E-04  3.98236E-04  3.98236E-04  3.98236E-04  1.97805E-03  1.37775E-04  2.28086E-03  1.59647E-04
