    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  8.17379E-05  6.00763E-07  1.16604E-04  1.16604E-04  1.15611E-04  3.48820E-04  2.56378E-06  1.38138E-04  1.36173E-04  1.39140E-04  1.39140E-04  1.38138E-04  6.90729E-04  5.07677E-06  1.12129E-03  8.24131E-06
  -29.9000  8.21168E-05  1.20431E-06  1.16387E-04  1.16387E-04  1.15376E-04  3.48149E-04  5.12263E-06  1.39072E-04  1.37073E-04  1.40092E-04  1.40092E-04  1.39072E-04  6.95399E-04  1.01879E-05  1.12567E-03  1.65148E-05
  -29.8000  8.25022E-05  1.81069E-06  1.16175E-04  1.16175E-04  1.15147E-04  3.47498E-04  7.67669E-06  1.40016E-04  1.37983E-04  1.41054E-04  1.41054E-04  1.40016E-04  7.00121E-04  1.53337E-05  1.13012E-03  2.48210E-05
  -29.7000  8.28944E-05  2.41995E-06  1.15971E-04  1.15971E-04  1.14924E-04  3.46865E-04  1.02261E-05  1.40970E-04  1.38902E-04  1.42027E-04  1.42027E-04  1.40970E-04  7.04896E-04  2.05145E-05  1.13466E-03  3.31606E-05
  -29.6000  8.32935E-05  3.03215E-06  1.15773E-04  1.15773E-04  1.14707E-04  3.46253E-04  1.27710E-05  1.41936E-04  1.39831E-04  1.43011E-04  1.43011E-04  1.41936E-04  7.09724E-04  2.57309E-05  1.13927E-03  4.15341E-05
  -29.5000  8.36997E-05  3.64733E-06  1.15581E-04  1.15581E-04  1.14497E-04  3.45659E-04  1.53116E-05  1.42912E-04  1.40770E-04  1.44007E-04  1.44007E-04  1.42912E-04  7.14607E-04  3.09832E-05  1.14397E-03  4.99421E-05
  -29.4000  8.41132E-05  4.26555E-06  1.15397E-04  1.15397E-04  1.14292E-04  3.45086E-04  1.78479E-05  1.43899E-04  1.41719E-04  1.45014E-04  1.45014E-04  1.43899E-04  7.19544E-04  3.62717E-05  1.14874E-03  5.83852E-05
  -29.3000  8.45340E-05  4.88686E-06  1.15219E-04  1.15219E-04  1.14094E-04  3.44531E-04  2.03802E-05  1.44897E-04  1.42678E-04  1.46033E-04  1.46033E-04  1.44897E-04  7.24538E-04  4.15970E-05  1.15360E-03  6.68640E-05
  -29.2000  8.49625E-05  5.51133E-06  1.15048E-04  1.15048E-04  1.13902E-04  3.43997E-04  2.29085E-05  1.45907E-04  1.43648E-04  1.47064E-04  1.47064E-04  1.45907E-04  7.29589E-04  4.69594E-05  1.15855E-03  7.53792E-05
  -29.1000  8.53989E-05  6.13900E-06  1.14883E-04  1.14883E-04  1.13716E-04  3.43482E-04  2.54330E-05  1.46929E-04  1.44628E-04  1.48107E-04  1.48107E-04  1.46929E-04  7.34699E-04  5.23593E-05  1.16358E-03  8.39313E-05
  -29.0000  8.58433E-05  6.76993E-06  1.14725E-04  1.14725E-04  1.13536E-04  3.42987E-04  2.79539E-05  1.47962E-04  1.45619E-04  1.49162E-04  1.49162E-04  1.47962E-04  7.39867E-04  5.77972E-05  1.16870E-03  9.25211E-05
  -28.9000  8.62960E-05  7.40420E-06  1.14575E-04  1.14575E-04  1.13363E-04  3.42513E-04  3.04714E-05  1.49007E-04  1.46621E-04  1.50230E-04  1.50230E-04  1.49007E-04  7.45096E-04  6.32736E-05  1.17391E-03  1.01149E-04
  -28.8000  8.67571E-05  8.04185E-06  1.14431E-04  1.14431E-04  1.13196E-04  3.42058E-04  3.29854E-05  1.50065E-04  1.47634E-04  1.51311E-04  1.51311E-04  1.50065E-04  7.50387E-04  6.87888E-05  1.17920E-03  1.09816E-04
  -28.7000  8.72270E-05  8.68296E-06  1.14294E-04  1.14294E-04  1.13036E-04  3.41624E-04  3.54963E-05  1.51135E-04  1.48659E-04  1.52405E-04  1.52405E-04  1.51135E-04  7.55739E-04  7.43434E-05  1.18459E-03  1.18523E-04
  -28.6000  8.77059E-05  9.32758E-06  1.14165E-04  1.14165E-04  1.12881E-04  3.41211E-04  3.80042E-05  1.52217E-04  1.49694E-04  1.53513E-04  1.53513E-04  1.52217E-04  7.61155E-04  7.99378E-05  1.19007E-03  1.27270E-04
  -28.5000  8.81940E-05  9.97580E-06  1.14042E-04  1.14042E-04  1.12734E-04  3.40818E-04  4.05092E-05  1.53313E-04  1.50742E-04  1.54634E-04  1.54634E-04  1.53313E-04  7.66635E-04  8.55725E-05  1.19565E-03  1.36057E-04
  -28.4000  8.86917E-05  1.06277E-05  1.13927E-04  1.13927E-04  1.12593E-04  3.40446E-04  4.30114E-05  1.54422E-04  1.51801E-04  1.55768E-04  1.55768E-04  1.54422E-04  7.72181E-04  9.12479E-05  1.20132E-03  1.44887E-04
  -28.3000  8.91991E-05  1.12833E-05  1.13819E-04  1.13819E-04  1.12458E-04  3.40095E-04  4.55110E-05  1.55544E-04  1.52872E-04  1.56917E-04  1.56917E-04  1.55544E-04  7.77793E-04  9.69646E-05  1.20709E-03  1.53759E-04
  -28.2000  8.97167E-05  1.19427E-05  1.13718E-04  1.13718E-04  1.12330E-04  3.39766E-04  4.80083E-05  1.56679E-04  1.53955E-04  1.58080E-04  1.58080E-04  1.56679E-04  7.83474E-04  1.02723E-04  1.21296E-03  1.62674E-04
  -28.1000  9.02448E-05  1.26060E-05  1.13625E-04  1.13625E-04  1.12209E-04  3.39459E-04  5.05033E-05  1.57829E-04  1.55051E-04  1.59258E-04  1.59258E-04  1.57829E-04  7.89224E-04  1.08524E-04  1.21893E-03  1.71633E-04
  -28.0000  9.07835E-05  1.32732E-05  1.13540E-04  1.13540E-04  1.12094E-04  3.39174E-04  5.29961E-05  1.58992E-04  1.56159E-04  1.60450E-04  1.60450E-04  1.58992E-04  7.95044E-04  1.14367E-04  1.22500E-03  1.80636E-04
  -27.9000  9.13331E-05  1.39445E-05  1.13462E-04  1.13462E-04  1.11987E-04  3.38910E-04  5.54871E-05  1.60169E-04  1.57280E-04  1.61658E-04  1.61658E-04  1.60169E-04  8.00934E-04  1.20254E-04  1.23118E-03  1.89685E-04
  -27.8000  9.18940E-05  1.46199E-05  1.13392E-04  1.13392E-04  1.11886E-04  3.38670E-04  5.79763E-05  1.61361E-04  1.58413E-04  1.62880E-04  1.62880E-04  1.61361E-04  8.06897E-04  1.26184E-04  1.23746E-03  1.98781E-04
  -27.7000  9.24668E-05  1.52995E-05  1.13330E-04  1.13330E-04  1.11792E-04  3.38452E-04  6.04638E-05  1.62568E-04  1.59560E-04  1.64119E-04  1.64119E-04  1.62568E-04  8.12934E-04  1.32159E-04  1.24385E-03  2.07923E-04
  -27.6000  9.30517E-05  1.59834E-05  1.13276E-04  1.13276E-04  1.11705E-04  3.38257E-04  6.29500E-05  1.63790E-04  1.60720E-04  1.65374E-04  1.65374E-04  1.63790E-04  8.19047E-04  1.38179E-04  1.25036E-03  2.17113E-04
  -27.5000  9.36491E-05  1.66717E-05  1.13230E-04  1.13230E-04  1.11626E-04  3.38086E-04  6.54349E-05  1.65027E-04  1.61894E-04  1.66645E-04  1.66645E-04  1.65027E-04  8.25237E-04  1.44245E-04  1.25697E-03  2.26351E-04
  -27.4000  9.42593E-05  1.73645E-05  1.13192E-04  1.13192E-04  1.11553E-04  3.37938E-04  6.79187E-05  1.66280E-04  1.63081E-04  1.67932E-04  1.67932E-04  1.66280E-04  8.31506E-04  1.50356E-04  1.26370E-03  2.35639E-04
  -27.3000  9.48830E-05  1.80619E-05  1.13163E-04  1.13163E-04  1.11489E-04  3.37815E-04  7.04016E-05  1.67549E-04  1.64282E-04  1.69237E-04  1.69237E-04  1.67549E-04  8.37854E-04  1.56514E-04  1.27055E-03  2.44978E-04
  -27.2000  9.55205E-05  1.87640E-05  1.13143E-04  1.13143E-04  1.11431E-04  3.37717E-04  7.28837E-05  1.68835E-04  1.65498E-04  1.70559E-04  1.70559E-04  1.68835E-04  8.44285E-04  1.62720E-04  1.27752E-03  2.54367E-04
  -27.1000  9.61723E-05  1.94708E-05  1.13131E-04  1.13131E-04  1.11381E-04  3.37644E-04  7.53654E-05  1.70136E-04  1.66728E-04  1.71899E-04  1.71899E-04  1.70136E-04  8.50798E-04  1.68973E-04  1.28461E-03  2.63809E-04
  -27.0000  9.68390E-05  2.01826E-05  1.13129E-04  1.13129E-04  1.11339E-04  3.37596E-04  7.78467E-05  1.71455E-04  1.67973E-04  1.73257E-04  1.73257E-04  1.71455E-04  8.57396E-04  1.75275E-04  1.29183E-03  2.73304E-04
  -26.9000  9.75210E-05  2.08994E-05  1.13135E-04  1.13135E-04  1.11305E-04  3.37575E-04  8.03278E-05  1.72791E-04  1.69232E-04  1.74633E-04  1.74633E-04  1.72791E-04  8.64081E-04  1.81626E-04  1.29918E-03  2.82853E-04
  -26.8000  9.82194E-05  2.16213E-05  1.13151E-04  1.13151E-04  1.11279E-04  3.37581E-04  8.28090E-05  1.74145E-04  1.70507E-04  1.76029E-04  1.76029E-04  1.74145E-04  8.70854E-04  1.88026E-04  1.30665E-03  2.92456E-04
  -26.7000  9.89341E-05  2.23484E-05  1.13177E-04  1.13177E-04  1.11261E-04  3.37614E-04  8.52904E-05  1.75516E-04  1.71797E-04  1.77443E-04  1.77443E-04  1.75516E-04  8.77717E-04  1.94477E-04  1.31427E-03  3.02116E-04
  -26.6000  9.96660E-05  2.30809E-05  1.13212E-04  1.13212E-04  1.11251E-04  3.37675E-04  8.77722E-05  1.76906E-04  1.73103E-04  1.78878E-04  1.78878E-04  1.76906E-04  8.84672E-04  2.00979E-04  1.32201E-03  3.11833E-04
  -26.5000  1.00416E-04  2.38190E-05  1.13258E-04  1.13258E-04  1.11250E-04  3.37765E-04  9.02548E-05  1.78315E-04  1.74425E-04  1.80332E-04  1.80332E-04  1.78315E-04  8.91720E-04  2.07534E-04  1.32990E-03  3.21607E-04
  -26.4000  1.01183E-04  2.45627E-05  1.13313E-04  1.13313E-04  1.11257E-04  3.37883E-04  9.27382E-05  1.79742E-04  1.75763E-04  1.81807E-04  1.81807E-04  1.79742E-04  8.98861E-04  2.14140E-04  1.33793E-03  3.31441E-04
  -26.3000  1.01970E-04  2.53121E-05  1.13379E-04  1.13379E-04  1.11273E-04  3.38032E-04  9.52227E-05  1.81189E-04  1.77117E-04  1.83303E-04  1.83303E-04  1.81189E-04  9.06099E-04  2.20800E-04  1.34610E-03  3.41335E-04
  -26.2000  1.02778E-04  2.60675E-05  1.13456E-04  1.13456E-04  1.11299E-04  3.38211E-04  9.77085E-05  1.82655E-04  1.78488E-04  1.84820E-04  1.84820E-04  1.82655E-04  9.13437E-04  2.27513E-04  1.35443E-03  3.51289E-04
  -26.1000  1.03605E-04  2.68290E-05  1.13545E-04  1.13545E-04  1.11333E-04  3.38422E-04  1.00196E-04  1.84142E-04  1.79876E-04  1.86359E-04  1.86359E-04  1.84142E-04  9.20877E-04  2.34282E-04  1.36290E-03  3.61307E-04
