    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  1.37127E-04  1.00786E-06  7.83950E-05  7.83950E-05  7.83950E-05  2.35185E-04  1.72858E-06  4.86780E-04  4.86780E-04  5.37621E-04  5.37621E-04  5.37621E-04  2.58642E-03  1.90099E-05  2.95874E-03  2.17463E-05
  -29.9000  1.39085E-04  2.03012E-06  7.89401E-05  7.89401E-05  7.89401E-05  2.36820E-04  3.46918E-06  4.93775E-04  4.93775E-04  5.46127E-04  5.46127E-04  5.46127E-04  2.62593E-03  3.83101E-05  3.00184E-03  4.38094E-05
  -29.8000  1.41100E-04  3.06719E-06  7.95000E-05  7.95000E-05  7.95000E-05  2.38500E-04  5.22212E-06  5.00926E-04  5.00926E-04  5.54848E-04  5.54848E-04  5.54848E-04  2.66640E-03  5.79077E-05  3.04600E-03  6.61971E-05
  -29.7000  1.43173E-04  4.11949E-06  8.00750E-05  8.00750E-05  8.00750E-05  2.40225E-04  6.98774E-06  5.08237E-04  5.08237E-04  5.63792E-04  5.63792E-04  5.63792E-04  2.70785E-03  7.78101E-05  3.09125E-03  8.89173E-05
  -29.6000  1.45307E-04  5.18748E-06  8.06659E-05  8.06659E-05  8.06659E-05  2.41998E-04  8.76639E-06  5.15713E-04  5.15713E-04  5.72966E-04  5.72966E-04  5.72966E-04  2.75032E-03  9.80246E-05  3.13763E-03  1.11978E-04
  -29.5000  1.47506E-04  6.27162E-06  8.12735E-05  8.12735E-05  8.12735E-05  2.43821E-04  1.05584E-05  5.23359E-04  5.23359E-04  5.82381E-04  5.82381E-04  5.82381E-04  2.79386E-03  1.18559E-04  3.18519E-03  1.35389E-04
  -29.4000  1.49771E-04  7.37242E-06  8.18982E-05  8.18982E-05  8.18982E-05  2.45695E-04  1.23643E-05  5.31181E-04  5.31181E-04  5.92043E-04  5.92043E-04  5.92043E-04  2.83849E-03  1.39422E-04  3.23396E-03  1.59158E-04
  -29.3000  1.52102E-04  8.49034E-06  8.25397E-05  8.25397E-05  8.25397E-05  2.47619E-04  1.41842E-05  5.39181E-04  5.39181E-04  6.01957E-04  6.01957E-04  6.01957E-04  2.88423E-03  1.60620E-04  3.28395E-03  1.83295E-04
  -29.2000  1.54506E-04  9.62594E-06  8.31999E-05  8.31999E-05  8.31999E-05  2.49600E-04  1.60188E-05  5.47369E-04  5.47369E-04  6.12141E-04  6.12141E-04  6.12141E-04  2.93116E-03  1.82164E-04  3.33527E-03  2.07809E-04
  -29.1000  1.56987E-04  1.07798E-05  8.38792E-05  8.38792E-05  8.38792E-05  2.51638E-04  1.78683E-05  5.55751E-04  5.55751E-04  6.22601E-04  6.22601E-04  6.22601E-04  2.97930E-03  2.04061E-04  3.38793E-03  2.32709E-04
