    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  9.86731E-05  7.25234E-07  7.62927E-05  7.62927E-05  7.62927E-05  2.28878E-04  1.68222E-06  3.66187E-04  3.66187E-04  3.71248E-04  3.71248E-04  3.71248E-04  1.84612E-03  1.35687E-05  2.17367E-03  1.59762E-05
  -29.9000  9.93128E-05  1.45517E-06  7.65104E-05  7.65104E-05  7.65104E-05  2.29531E-04  3.36925E-06  3.70479E-04  3.70479E-04  3.75639E-04  3.75639E-04  3.75639E-04  1.86788E-03  2.72974E-05  2.19672E-03  3.21218E-05
  -29.8000  9.99615E-05  2.18987E-06  7.67318E-05  7.67318E-05  7.67318E-05  2.30196E-04  5.06115E-06  3.74850E-04  3.74850E-04  3.80113E-04  3.80113E-04  3.80113E-04  1.89004E-03  4.11889E-05  2.22019E-03  4.84399E-05
  -29.7000  1.00619E-04  2.92941E-06  7.69570E-05  7.69570E-05  7.69570E-05  2.30871E-04  6.75802E-06  3.79301E-04  3.79301E-04  3.84670E-04  3.84670E-04  3.84670E-04  1.91261E-03  5.52463E-05  2.24410E-03  6.49337E-05
  -29.6000  1.01286E-04  3.67385E-06  7.71859E-05  7.71859E-05  7.71859E-05  2.31558E-04  8.45994E-06  3.83836E-04  3.83836E-04  3.89313E-04  3.89313E-04  3.89313E-04  1.93561E-03  6.94728E-05  2.26846E-03  8.16066E-05
  -29.5000  1.01963E-04  4.42327E-06  7.74188E-05  7.74188E-05  7.74188E-05  2.32256E-04  1.01670E-05  3.88456E-04  3.88456E-04  3.94045E-04  3.94045E-04  3.94045E-04  1.95905E-03  8.38715E-05  2.29327E-03  9.84618E-05
  -29.4000  1.02650E-04  5.17773E-06  7.76556E-05  7.76556E-05  7.76556E-05  2.32967E-04  1.18793E-05  3.93164E-04  3.93164E-04  3.98867E-04  3.98867E-04  3.98867E-04  1.98293E-03  9.84458E-05  2.31855E-03  1.15503E-04
  -29.3000  1.03346E-04  5.93731E-06  7.78964E-05  7.78964E-05  7.78964E-05  2.33689E-04  1.35968E-05  3.97961E-04  3.97961E-04  4.03783E-04  4.03783E-04  4.03783E-04  2.00727E-03  1.13199E-04  2.34431E-03  1.32733E-04
  -29.2000  1.04052E-04  6.70208E-06  7.81410E-05  7.81410E-05  7.81410E-05  2.34423E-04  1.53198E-05  4.02848E-04  4.02848E-04  4.08791E-04  4.08791E-04  4.08791E-04  2.03207E-03  1.28134E-04  2.37054E-03  1.50156E-04
  -29.1000  1.04768E-04  7.47211E-06  7.83898E-05  7.83898E-05  7.83898E-05  2.35169E-04  1.70483E-05  4.07830E-04  4.07830E-04  4.13898E-04  4.13898E-04  4.13898E-04  2.05735E-03  1.43256E-04  2.39729E-03  1.67776E-04
  -29.0000  1.05496E-04  8.24749E-06  7.86429E-05  7.86429E-05  7.86429E-05  2.35929E-04  1.87823E-05  4.12909E-04  4.12909E-04  4.19105E-04  4.19105E-04  4.19105E-04  2.08313E-03  1.58566E-04  2.42456E-03  1.85596E-04
  -28.9000  1.06234E-04  9.02829E-06  7.89004E-05  7.89004E-05  7.89004E-05  2.36701E-04  2.05221E-05  4.18087E-04  4.18087E-04  4.24416E-04  4.24416E-04  4.24416E-04  2.10942E-03  1.74070E-04  2.45236E-03  2.03621E-04
  -28.8000  1.06983E-04  9.81460E-06  7.91622E-05  7.91622E-05  7.91622E-05  2.37487E-04  2.22676E-05  4.23367E-04  4.23367E-04  4.29832E-04  4.29832E-04  4.29832E-04  2.13623E-03  1.89771E-04  2.48070E-03  2.21854E-04
  -28.7000  1.07744E-04  1.06065E-05  7.94286E-05  7.94286E-05  7.94286E-05  2.38286E-04  2.40189E-05  4.28751E-04  4.28751E-04  4.35358E-04  4.35358E-04  4.35358E-04  2.16357E-03  2.05673E-04  2.50960E-03  2.40299E-04
  -28.6000  1.08516E-04  1.14041E-05  7.96995E-05  7.96995E-05  7.96995E-05  2.39099E-04  2.57763E-05  4.34243E-04  4.34243E-04  4.40994E-04  4.40994E-04  4.40994E-04  2.19147E-03  2.21780E-04  2.53908E-03  2.58961E-04
  -28.5000  1.09301E-04  1.22074E-05  7.99751E-05  7.99751E-05  7.99751E-05  2.39925E-04  2.75397E-05  4.39845E-04  4.39845E-04  4.46746E-04  4.46746E-04  4.46746E-04  2.21993E-03  2.38097E-04  2.56915E-03  2.77844E-04
